,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
63254,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,3,1,True,2022-01-05,,
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,2,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,3,True,2022-01-04,202201.0,T-不計價
63255,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,1,4,True,2022-01-28,,
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,5,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,6,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,7,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,8,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,9,True,2022-01-04,202201.0,T-不計價
63256,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,1,10,True,2022-03-09,,
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,11,True,2022-01-04,202201.0,T-不計價
63257,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,1,12,True,2022-03-25,,
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,13,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,14,True,2022-01-04,202201.0,T-不計價
63259,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,2,15,True,2022-04-15,,
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,16,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,17,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,18,True,2022-01-04,202201.0,T-不計價
63260,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,1,19,True,2022-05-12,,
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,20,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,21,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,22,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,23,True,2022-01-04,202201.0,T-不計價
63261,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,1,24,True,2022-06-13,,
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,25,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,26,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,27,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,28,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,29,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,30,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,31,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,32,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,33,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,34,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,35,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,36,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,37,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,38,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,39,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,40,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,41,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,42,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,43,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,44,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,45,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,46,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,47,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,48,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,49,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,50,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,51,True,2022-01-04,202201.0,T-不計價
63253,DLN6,B13500651,無菌手套6.5Fr(無粉)-病房用,0,52,True,2022-01-04,202201.0,T-不計價
