,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,1
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,2
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,3
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,4
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,5
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,6
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,7
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,8
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,9
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,10
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,11
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,1,2022-03-25,,,True,12
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,13
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,14
63290,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,1,2022-04-15,,,True,15
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,16
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,17
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,18
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,19
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,20
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,21
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,22
63289,DLN6,B13500754,無菌手套7.5Fr(無粉)-病房用,0,2022-03-25,202203.0,T-不計價,True,23
