,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
69646,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,1,True,2022-01-04,,
69649,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,2,True,2022-01-14,,
69652,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,3,True,2022-01-20,,
69657,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,5,4,True,2022-01-29,,
69660,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,5,False,2022-02-06,,
69662,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,6,True,2022-02-10,,
69667,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,5,7,False,2022-02-20,,
69671,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,4,8,True,2022-02-25,,
69674,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,9,False,2022-03-06,,
69676,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,10,True,2022-03-09,,
69682,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,6,11,False,2022-03-20,,
69684,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,12,False,2022-03-27,,
69646,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,0,13,True,2022-01-04,202201.0,T-不計價
69685,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,14,True,2022-04-07,,
69689,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,4,15,False,2022-04-17,,
69693,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,4,16,False,2022-04-23,,
69694,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,17,True,2022-04-25,,
69697,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,18,False,2022-05-08,,
69699,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,19,True,2022-05-10,,
69702,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,20,True,2022-05-20,,
69646,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,0,21,True,2022-01-04,202201.0,T-不計價
69703,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,22,True,2022-05-30,,
69704,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,23,False,2022-06-12,,
69707,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,24,True,2022-06-15,,
69709,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,25,True,2022-06-24,,
69711,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,26,True,2022-06-28,,
69646,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,0,27,True,2022-01-04,202201.0,T-不計價
69712,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,28,True,2022-07-12,,
69716,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,4,29,False,2022-07-24,,
69719,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,30,False,2022-07-30,,
69721,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,31,True,2022-08-02,,
69723,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,32,False,2022-08-14,,
69727,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,4,33,False,2022-08-21,,
69733,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,6,34,False,2022-08-27,,
69735,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,35,False,2022-09-03,,
69739,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,4,36,False,2022-09-11,,
69741,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,2,37,False,2022-09-18,,
69747,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,7,38,False,2022-09-24,,
69753,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,6,39,False,2022-10-02,,
69756,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,40,True,2022-10-09,,
69759,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,41,False,2022-10-16,,
69763,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,4,42,False,2022-10-23,,
69769,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,6,43,False,2022-10-30,,
69772,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,44,True,2022-11-01,,
69775,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,45,False,2022-11-12,,
69780,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,5,46,False,2022-11-19,,
69788,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,8,47,False,2022-11-27,,
69791,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,48,False,2022-12-03,,
69792,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,49,True,2022-12-09,,
69795,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,50,True,2022-12-16,,
69798,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,3,51,False,2022-12-24,,
69799,DLN6,C02723000,氧氣鼻管 O2雙管 2-Way,1,52,True,2022-12-30,,
