,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,1
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,2
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,3
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,4
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,5
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,6
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,7
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,8
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,9
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,10
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,11
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,12
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,13
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,14
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,15
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,16
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,17
69931,DLN6,C08224705,氣管內管PVC,1,2022-05-08,,,False,18
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,19
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,20
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,21
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,22
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,23
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,24
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,25
69932,DLN6,C08224705,氣管內管PVC,1,2022-06-30,,,True,26
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,27
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,28
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,29
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,30
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,31
69933,DLN6,C08224705,氣管內管PVC,1,2022-08-10,,,True,32
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,33
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,34
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,35
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,36
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,37
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,38
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,39
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,40
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,41
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,42
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,43
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,44
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,45
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,46
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,47
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,48
69934,DLN6,C08224705,氣管內管PVC,1,2022-12-07,,,True,49
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,50
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,51
69931,DLN6,C08224705,氣管內管PVC,0,2022-05-08,202205.0,T-不計價,False,52
