,庫房,料號,品名,數量,週,工作日,帳務日期
71304,DLN6,C13930399,T型連接管,79,1,False,2022-01-09
71369,DLN6,C13930399,T型連接管,76,2,False,2022-01-16
71431,DLN6,C13930399,T型連接管,69,3,False,2022-01-23
71480,DLN6,C13930399,T型連接管,55,4,True,2022-01-30
71542,DLN6,C13930399,T型連接管,66,5,False,2022-02-06
71629,DLN6,C13930399,T型連接管,98,6,False,2022-02-13
71709,DLN6,C13930399,T型連接管,90,7,False,2022-02-20
71768,DLN6,C13930399,T型連接管,70,8,False,2022-02-27
71834,DLN6,C13930399,T型連接管,73,9,False,2022-03-06
71906,DLN6,C13930399,T型連接管,88,10,False,2022-03-13
71973,DLN6,C13930399,T型連接管,84,11,False,2022-03-20
72042,DLN6,C13930399,T型連接管,81,12,False,2022-03-27
72126,DLN6,C13930399,T型連接管,100,13,False,2022-04-03
72209,DLN6,C13930399,T型連接管,93,14,False,2022-04-10
72277,DLN6,C13930399,T型連接管,79,15,False,2022-04-17
72338,DLN6,C13930399,T型連接管,69,16,True,2022-04-24
72404,DLN6,C13930399,T型連接管,84,17,False,2022-05-01
72491,DLN6,C13930399,T型連接管,99,18,False,2022-05-08
72567,DLN6,C13930399,T型連接管,87,19,False,2022-05-15
72644,DLN6,C13930399,T型連接管,85,20,False,2022-05-22
72719,DLN6,C13930399,T型連接管,79,21,False,2022-05-29
72797,DLN6,C13930399,T型連接管,84,22,False,2022-06-05
72887,DLN6,C13930399,T型連接管,96,23,False,2022-06-12
72966,DLN6,C13930399,T型連接管,84,24,False,2022-06-19
73053,DLN6,C13930399,T型連接管,97,25,False,2022-06-26
73138,DLN6,C13930399,T型連接管,90,26,False,2022-07-03
73173,DLN6,C13930399,T型連接管,37,27,False,2022-07-10
73202,DLN6,C13930399,T型連接管,32,28,False,2022-07-17
73277,DLN6,C13930399,T型連接管,85,29,False,2022-07-24
73346,DLN6,C13930399,T型連接管,73,30,False,2022-07-31
73420,DLN6,C13930399,T型連接管,80,31,False,2022-08-07
73487,DLN6,C13930399,T型連接管,75,32,False,2022-08-14
73564,DLN6,C13930399,T型連接管,80,33,False,2022-08-21
73653,DLN6,C13930399,T型連接管,97,34,False,2022-08-28
73740,DLN6,C13930399,T型連接管,99,35,False,2022-09-04
73822,DLN6,C13930399,T型連接管,92,36,False,2022-09-11
73897,DLN6,C13930399,T型連接管,85,37,False,2022-09-18
73974,DLN6,C13930399,T型連接管,81,38,False,2022-09-25
74043,DLN6,C13930399,T型連接管,76,39,False,2022-10-02
74121,DLN6,C13930399,T型連接管,87,40,True,2022-10-09
74184,DLN6,C13930399,T型連接管,74,41,False,2022-10-16
74234,DLN6,C13930399,T型連接管,58,42,False,2022-10-23
74289,DLN6,C13930399,T型連接管,63,43,False,2022-10-30
74387,DLN6,C13930399,T型連接管,128,44,False,2022-11-06
74475,DLN6,C13930399,T型連接管,101,45,False,2022-11-13
74547,DLN6,C13930399,T型連接管,82,46,False,2022-11-20
74607,DLN6,C13930399,T型連接管,64,47,False,2022-11-27
74680,DLN6,C13930399,T型連接管,83,48,False,2022-12-04
74757,DLN6,C13930399,T型連接管,89,49,False,2022-12-11
74828,DLN6,C13930399,T型連接管,83,50,False,2022-12-18
74886,DLN6,C13930399,T型連接管,71,51,False,2022-12-25
74950,DLN6,C13930399,T型連接管,97,52,False,2022-12-31
