,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,1
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,2
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,3
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,4
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,5
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,6
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,7
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,8
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,9
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,10
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,11
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,12
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,13
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,14
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,15
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,16
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,17
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,18
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,19
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,20
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,21
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,22
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,23
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,24
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,25
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,26
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,27
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,28
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,29
75668,DLN6,D00669305,3-0   尼龍線,2,2022-07-29,,,True,30
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,31
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,32
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,33
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,34
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,35
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,36
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,37
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,38
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,39
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,40
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,41
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,42
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,43
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,44
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,45
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,46
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,47
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,48
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,49
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,50
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,51
75667,DLN6,D00669305,3-0   尼龍線,0,2022-07-25,202207.0,T-不計價,True,52
