,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,1
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,2
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,3
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,4
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,5
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,6
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,7
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,8
75671,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,2,2022-03-02,,,True,9
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,10
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,11
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,12
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,13
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,14
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,15
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,16
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,17
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,18
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,19
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,20
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,21
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,22
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,23
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,24
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,25
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,26
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,27
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,28
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,29
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,30
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,31
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,32
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,33
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,34
75670,DLN6,E50350285,DOUBLE PIGTAIL STENT SET,0,2022-03-02,202203.0,T-不計價,True,35
