,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
76434,DLN6,F36005006,單一無菌引流袋 500cc,3,1,False,2022-01-09,,
76441,DLN6,F36005006,單一無菌引流袋 500cc,7,2,False,2022-01-16,,
76442,DLN6,F36005006,單一無菌引流袋 500cc,1,3,True,2022-01-20,,
76445,DLN6,F36005006,單一無菌引流袋 500cc,3,4,True,2022-01-27,,
76447,DLN6,F36005006,單一無菌引流袋 500cc,2,5,False,2022-02-04,,
76448,DLN6,F36005006,單一無菌引流袋 500cc,1,6,True,2022-02-07,,
76449,DLN6,F36005006,單一無菌引流袋 500cc,1,7,True,2022-02-16,,
76452,DLN6,F36005006,單一無菌引流袋 500cc,3,8,False,2022-02-27,,
76453,DLN6,F36005006,單一無菌引流袋 500cc,1,9,False,2022-03-06,,
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,10,True,2022-01-05,202201.0,T-不計價
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,11,True,2022-01-05,202201.0,T-不計價
76455,DLN6,F36005006,單一無菌引流袋 500cc,2,12,False,2022-03-27,,
76459,DLN6,F36005006,單一無菌引流袋 500cc,4,13,False,2022-04-03,,
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,14,True,2022-01-05,202201.0,T-不計價
76460,DLN6,F36005006,單一無菌引流袋 500cc,1,15,True,2022-04-15,,
76462,DLN6,F36005006,單一無菌引流袋 500cc,2,16,True,2022-04-24,,
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,17,True,2022-01-05,202201.0,T-不計價
76463,DLN6,F36005006,單一無菌引流袋 500cc,1,18,False,2022-05-08,,
76464,DLN6,F36005006,單一無菌引流袋 500cc,1,19,False,2022-05-15,,
76467,DLN6,F36005006,單一無菌引流袋 500cc,3,20,True,2022-05-20,,
76469,DLN6,F36005006,單一無菌引流袋 500cc,2,21,True,2022-05-25,,
76470,DLN6,F36005006,單一無菌引流袋 500cc,1,22,False,2022-06-03,,
76471,DLN6,F36005006,單一無菌引流袋 500cc,1,23,True,2022-06-07,,
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,24,True,2022-01-05,202201.0,T-不計價
76474,DLN6,F36005006,單一無菌引流袋 500cc,3,25,True,2022-06-24,,
76475,DLN6,F36005006,單一無菌引流袋 500cc,1,26,True,2022-06-30,,
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,27,True,2022-01-05,202201.0,T-不計價
76477,DLN6,F36005006,單一無菌引流袋 500cc,2,28,False,2022-07-16,,
76478,DLN6,F36005006,單一無菌引流袋 500cc,1,29,True,2022-07-21,,
76481,DLN6,F36005006,單一無菌引流袋 500cc,3,30,False,2022-07-30,,
76482,DLN6,F36005006,單一無菌引流袋 500cc,1,31,True,2022-08-01,,
76484,DLN6,F36005006,單一無菌引流袋 500cc,2,32,False,2022-08-13,,
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,33,True,2022-01-05,202201.0,T-不計價
76492,DLN6,F36005006,單一無菌引流袋 500cc,10,34,False,2022-08-28,,
76496,DLN6,F36005006,單一無菌引流袋 500cc,4,35,True,2022-08-31,,
76499,DLN6,F36005006,單一無菌引流袋 500cc,3,36,False,2022-09-10,,
76503,DLN6,F36005006,單一無菌引流袋 500cc,4,37,True,2022-09-16,,
76510,DLN6,F36005006,單一無菌引流袋 500cc,7,38,False,2022-09-25,,
76512,DLN6,F36005006,單一無菌引流袋 500cc,2,39,True,2022-09-30,,
76514,DLN6,F36005006,單一無菌引流袋 500cc,2,40,True,2022-10-09,,
76519,DLN6,F36005006,單一無菌引流袋 500cc,5,41,False,2022-10-16,,
76522,DLN6,F36005006,單一無菌引流袋 500cc,3,42,True,2022-10-21,,
76524,DLN6,F36005006,單一無菌引流袋 500cc,2,43,False,2022-10-29,,
76531,DLN6,F36005006,單一無菌引流袋 500cc,7,44,False,2022-11-06,,
76535,DLN6,F36005006,單一無菌引流袋 500cc,4,45,False,2022-11-13,,
76540,DLN6,F36005006,單一無菌引流袋 500cc,5,46,True,2022-11-18,,
76544,DLN6,F36005006,單一無菌引流袋 500cc,4,47,False,2022-11-27,,
76548,DLN6,F36005006,單一無菌引流袋 500cc,6,48,False,2022-12-04,,
76549,DLN6,F36005006,單一無菌引流袋 500cc,1,49,True,2022-12-07,,
76550,DLN6,F36005006,單一無菌引流袋 500cc,1,50,True,2022-12-14,,
76555,DLN6,F36005006,單一無菌引流袋 500cc,5,51,False,2022-12-25,,
76432,DLN6,F36005006,單一無菌引流袋 500cc,0,52,True,2022-01-05,202201.0,T-不計價
