,庫房,料號,品名,數量,週,工作日,帳務日期
91075,DLN6,I20100104,心電圖電極貼片,77,1,False,2022-01-09
91096,DLN6,I20100104,心電圖電極貼片,63,2,False,2022-01-16
91111,DLN6,I20100104,心電圖電極貼片,45,3,False,2022-01-23
91140,DLN6,I20100104,心電圖電極貼片,87,4,True,2022-01-30
91159,DLN6,I20100104,心電圖電極貼片,60,5,False,2022-02-06
91176,DLN6,I20100104,心電圖電極貼片,54,6,False,2022-02-13
91207,DLN6,I20100104,心電圖電極貼片,93,7,False,2022-02-20
91230,DLN6,I20100104,心電圖電極貼片,69,8,False,2022-02-27
91253,DLN6,I20100104,心電圖電極貼片,69,9,False,2022-03-06
91283,DLN6,I20100104,心電圖電極貼片,99,10,False,2022-03-13
91328,DLN6,I20100104,心電圖電極貼片,135,11,False,2022-03-20
91374,DLN6,I20100104,心電圖電極貼片,159,12,False,2022-03-27
91405,DLN6,I20100104,心電圖電極貼片,97,13,False,2022-04-03
91421,DLN6,I20100104,心電圖電極貼片,48,14,False,2022-04-10
91442,DLN6,I20100104,心電圖電極貼片,64,15,False,2022-04-17
91455,DLN6,I20100104,心電圖電極貼片,42,16,True,2022-04-24
91471,DLN6,I20100104,心電圖電極貼片,51,17,False,2022-05-01
91503,DLN6,I20100104,心電圖電極貼片,99,18,False,2022-05-08
91543,DLN6,I20100104,心電圖電極貼片,120,19,False,2022-05-15
91564,DLN6,I20100104,心電圖電極貼片,63,20,False,2022-05-22
91595,DLN6,I20100104,心電圖電極貼片,93,21,False,2022-05-29
91601,DLN6,I20100104,心電圖電極貼片,18,22,False,2022-06-05
91607,DLN6,I20100104,心電圖電極貼片,18,23,False,2022-06-12
91621,DLN6,I20100104,心電圖電極貼片,42,24,False,2022-06-19
91640,DLN6,I20100104,心電圖電極貼片,57,25,False,2022-06-26
91658,DLN6,I20100104,心電圖電極貼片,54,26,False,2022-07-03
91659,DLN6,I20100104,心電圖電極貼片,3,27,True,2022-07-04
91662,DLN6,I20100104,心電圖電極貼片,9,28,True,2022-07-14
91675,DLN6,I20100104,心電圖電極貼片,39,29,False,2022-07-24
91706,DLN6,I20100104,心電圖電極貼片,93,30,False,2022-07-31
91722,DLN6,I20100104,心電圖電極貼片,48,31,False,2022-08-07
91737,DLN6,I20100104,心電圖電極貼片,49,32,False,2022-08-14
91754,DLN6,I20100104,心電圖電極貼片,51,33,False,2022-08-21
91762,DLN6,I20100104,心電圖電極貼片,24,34,False,2022-08-28
91775,DLN6,I20100104,心電圖電極貼片,39,35,False,2022-09-04
91794,DLN6,I20100104,心電圖電極貼片,61,36,False,2022-09-11
91806,DLN6,I20100104,心電圖電極貼片,42,37,False,2022-09-18
91823,DLN6,I20100104,心電圖電極貼片,57,38,False,2022-09-24
91844,DLN6,I20100104,心電圖電極貼片,61,39,False,2022-10-02
91856,DLN6,I20100104,心電圖電極貼片,36,40,True,2022-10-09
91869,DLN6,I20100104,心電圖電極貼片,37,41,False,2022-10-16
91880,DLN6,I20100104,心電圖電極貼片,33,42,False,2022-10-23
91887,DLN6,I20100104,心電圖電極貼片,21,43,False,2022-10-30
91893,DLN6,I20100104,心電圖電極貼片,18,44,False,2022-11-05
91903,DLN6,I20100104,心電圖電極貼片,33,45,True,2022-11-11
91913,DLN6,I20100104,心電圖電極貼片,30,46,False,2022-11-20
91923,DLN6,I20100104,心電圖電極貼片,30,47,False,2022-11-27
91935,DLN6,I20100104,心電圖電極貼片,36,48,False,2022-12-04
91945,DLN6,I20100104,心電圖電極貼片,30,49,False,2022-12-11
91959,DLN6,I20100104,心電圖電極貼片,42,50,False,2022-12-18
91972,DLN6,I20100104,心電圖電極貼片,39,51,False,2022-12-25
91986,DLN6,I20100104,心電圖電極貼片,66,52,False,2022-12-31
