,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,1
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,2
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,3
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,4
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,5
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,6
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,7
92861,DLN6,J00300505,小腿尿袋,1,2022-02-25,,,True,8
92862,DLN6,J00300505,小腿尿袋,1,2022-03-05,,,False,9
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,10
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,11
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,12
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,13
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,14
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,15
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,16
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,17
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,18
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,19
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,20
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,21
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,22
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,23
92863,DLN6,J00300505,小腿尿袋,1,2022-06-15,,,True,24
92864,DLN6,J00300505,小腿尿袋,1,2022-06-22,,,True,25
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,26
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,27
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,28
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,29
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,30
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,31
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,32
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,33
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,34
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,35
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,36
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,37
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,38
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,39
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,40
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,41
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,42
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,43
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,44
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,45
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,46
92865,DLN6,J00300505,小腿尿袋,1,2022-11-21,,,True,47
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,48
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,49
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,50
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,51
92861,DLN6,J00300505,小腿尿袋,0,2022-02-25,202202.0,T-不計價,True,52
