,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,1
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,2
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,3
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,4
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,5
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,6
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,7
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,8
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,9
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,10
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,11
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,12
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,13
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,14
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,15
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,16
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,17
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,18
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,19
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,20
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,21
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,22
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,23
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,24
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,25
96514,DLN6,P21800002,Lapack  人工肛門袋,8,2022-07-03,,,False,26
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,27
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,28
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,29
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,30
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,31
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,32
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,33
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,34
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,35
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,36
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,37
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,38
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,39
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,40
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,41
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,42
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,43
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,44
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,45
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,46
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,47
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,48
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,49
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,50
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,51
96513,DLN6,P21800002,Lapack  人工肛門袋,0,2022-06-30,202206.0,T-不計價,True,52
