,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,1
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,2
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,3
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,4
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,5
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,6
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,7
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,8
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,1,2022-03-02,,,True,9
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,10
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,11
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,12
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,13
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,14
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,15
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,16
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,17
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,18
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,19
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,20
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,21
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,22
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,23
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,24
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,25
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,26
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,27
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,28
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,29
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,30
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,31
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,32
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,33
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,34
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,35
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,36
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,37
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,38
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,39
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,40
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,41
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,42
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,43
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,44
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,45
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,46
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,47
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,48
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,49
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,50
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,51
96516,DLN6,R31221899,〞信迪思〞骨科用Ｋ氏鋼絲,0,2022-03-02,202203.0,T-不計價,True,52
