,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,1
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,2
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,3
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,4
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,5
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,,,False,6
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,7
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,8
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,9
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,10
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,11
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,12
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,13
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,14
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,15
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,16
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,17
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,18
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,19
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,20
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,21
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,22
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,23
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,24
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,25
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,26
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,27
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,28
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,29
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,30
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,31
96698,DLN6,T01102021,小孩氧氣罩,1,2022-08-12,,,True,32
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,33
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,34
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,35
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,36
96699,DLN6,T01102021,小孩氧氣罩,1,2022-09-13,,,True,37
96700,DLN6,T01102021,小孩氧氣罩,1,2022-09-19,,,True,38
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,39
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,40
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,41
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,42
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,43
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,44
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,45
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,46
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,47
96701,DLN6,T01102021,小孩氧氣罩,1,2022-12-03,,,False,48
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,49
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,50
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,51
96697,DLN6,T01102021,小孩氧氣罩,0,2022-02-13,202202.0,T-不計價,False,52
