,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
96901,DLN6,T02130909,Oral Airway (Disposable),1,1,True,2022-01-07,,
96901,DLN6,T02130909,Oral Airway (Disposable),0,2,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,3,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,4,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,5,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,6,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,7,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,8,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,9,True,2022-01-07,202201.0,T-不計價
96902,DLN6,T02130909,Oral Airway (Disposable),1,10,True,2022-03-07,,
96901,DLN6,T02130909,Oral Airway (Disposable),0,11,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,12,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,13,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,14,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,15,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,16,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,17,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,18,True,2022-01-07,202201.0,T-不計價
96903,DLN6,T02130909,Oral Airway (Disposable),1,19,True,2022-05-12,,
96901,DLN6,T02130909,Oral Airway (Disposable),0,20,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,21,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,22,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,23,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,24,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,25,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,26,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,27,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,28,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,29,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,30,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,31,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,32,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,33,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,34,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,35,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,36,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,37,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,38,True,2022-01-07,202201.0,T-不計價
96904,DLN6,T02130909,Oral Airway (Disposable),1,39,True,2022-09-27,,
96901,DLN6,T02130909,Oral Airway (Disposable),0,40,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,41,True,2022-01-07,202201.0,T-不計價
96905,DLN6,T02130909,Oral Airway (Disposable),1,42,True,2022-10-21,,
96901,DLN6,T02130909,Oral Airway (Disposable),0,43,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,44,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,45,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,46,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,47,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,48,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,49,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,50,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,51,True,2022-01-07,202201.0,T-不計價
96901,DLN6,T02130909,Oral Airway (Disposable),0,52,True,2022-01-07,202201.0,T-不計價
