,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,1
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,2
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,3
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,4
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,5
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2,2022-02-08,,,True,6
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,7
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,8
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,9
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,10
98445,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2,2022-03-16,,,True,11
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,12
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,13
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,14
98447,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2,2022-04-17,,,False,15
98449,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2,2022-04-24,,,True,16
98450,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1,2022-04-29,,,True,17
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,18
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,19
98451,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1,2022-05-17,,,True,20
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,21
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,22
98452,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1,2022-06-08,,,True,23
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,24
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,25
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,26
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,27
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,28
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,29
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,30
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,31
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,32
98453,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1,2022-08-19,,,True,33
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,34
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,35
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,36
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,37
98455,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2,2022-09-22,,,True,38
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,39
98456,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1,2022-10-07,,,False,40
98458,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),3,2022-10-14,,,True,41
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,42
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,43
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,44
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,45
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,46
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,47
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,48
98444,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),0,2022-02-08,202202.0,C-計價,True,49
98459,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1,2022-12-16,,,True,50
98460,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1,2022-12-21,,,True,51
98462,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2,2022-12-30,,,True,52
