,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,1
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,2
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,3
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,4
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,5
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,6
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,7
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,8
98494,DLN6,Z24105544,手術衣 XL,1,2022-03-02,,,True,9
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,10
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,11
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,12
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,13
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,14
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,15
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,16
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,17
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,18
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,19
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,20
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,21
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,22
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,23
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,24
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,25
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,26
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,27
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,28
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,29
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,30
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,31
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,32
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,33
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,34
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,35
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,36
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,37
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,38
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,39
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,40
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,41
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,42
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,43
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,44
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,45
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,46
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,47
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,48
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,49
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,50
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,51
98494,DLN6,Z24105544,手術衣 XL,0,2022-03-02,202203.0,T-不計價,True,52
