,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,1
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,2
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,3
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,4
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,5
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,6
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,7
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,8
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,9
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,10
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,11
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,12
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,13
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,14
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,15
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,16
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,17
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,18
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,19
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,20
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,21
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,22
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,23
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,24
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,25
98498,DLN6,Z25211869,N95口罩(第2等級)三瓣型,2,2022-07-03,,,False,26
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,27
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,28
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,29
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,30
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,31
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,32
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,33
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,34
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,35
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,36
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,37
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,38
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,39
98497,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2022-07-03,202207.0,T-不計價,False,40
