,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,1
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,2
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,3
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,4
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,5
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,6
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,7
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,8
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,9
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,10
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,11
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,12
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,13
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,14
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,15
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,16
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,17
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,18
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,19
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,20
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,21
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,22
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,23
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,24
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,25
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,26
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,27
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,28
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,29
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,30
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,31
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,32
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,33
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,34
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,35
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,36
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,37
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,38
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,39
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,40
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,41
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,42
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,43
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,44
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,45
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,46
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,47
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,48
15,DLN1,A00120059,5cc塑膠注射空針,1.0,2022-12-07,,,True,49
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,50
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,51
15,DLN1,A00120059,5cc塑膠注射空針,0.0,2022-12-07,202212.0,T-不計價,True,52
