,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,1
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,2
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,3
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,4
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,5
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,6
437,DLRI,A00120059,5cc塑膠注射空針,3.0,2022-02-19,,,False,7
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,8
440,DLRI,A00120059,5cc塑膠注射空針,4.0,2022-03-05,,,False,9
441,DLRI,A00120059,5cc塑膠注射空針,1.0,2022-03-09,,,True,10
442,DLRI,A00120059,5cc塑膠注射空針,1.0,2022-03-15,,,True,11
437,DLRI,A00120059,5cc塑膠注射空針,0.0,2022-02-19,202202.0,T-不計價,False,12
444,DLRI,A00120059,5cc塑膠注射空針,4.0,2022-04-01,,,True,13
446,DLRI,A00120059,5cc塑膠注射空針,8.0,2022-04-05,,,False,14
448,DLRI,A00120059,5cc塑膠注射空針,2.0,2022-04-15,,,True,15
458,DLRI,A00120059,5cc塑膠注射空針,10.0,2022-04-24,,,True,16
467,DLRI,A00120059,5cc塑膠注射空針,18.0,2022-04-30,,,False,17
474,DLRI,A00120059,5cc塑膠注射空針,10.0,2022-05-08,,,False,18
477,DLRI,A00120059,5cc塑膠注射空針,6.0,2022-05-15,,,False,19
482,DLRI,A00120059,5cc塑膠注射空針,5.0,2022-05-22,,,False,20
499,DLRI,A00120059,5cc塑膠注射空針,42.0,2022-05-29,,,False,21
506,DLRI,A00120059,5cc塑膠注射空針,7.0,2022-06-05,,,False,22
509,DLRI,A00120059,5cc塑膠注射空針,4.0,2022-06-11,,,False,23
514,DLRI,A00120059,5cc塑膠注射空針,8.0,2022-06-18,,,False,24
518,DLRI,A00120059,5cc塑膠注射空針,4.0,2022-06-26,,,False,25
528,DLRI,A00120059,5cc塑膠注射空針,18.0,2022-07-03,,,False,26
530,DLRI,A00120059,5cc塑膠注射空針,3.0,2022-07-05,,,True,27
533,DLRI,A00120059,5cc塑膠注射空針,9.0,2022-07-16,,,False,28
537,DLRI,A00120059,5cc塑膠注射空針,5.0,2022-07-23,,,False,29
540,DLRI,A00120059,5cc塑膠注射空針,7.0,2022-07-30,,,False,30
550,DLRI,A00120059,5cc塑膠注射空針,11.0,2022-08-07,,,False,31
558,DLRI,A00120059,5cc塑膠注射空針,11.0,2022-08-13,,,False,32
564,DLRI,A00120059,5cc塑膠注射空針,9.0,2022-08-20,,,False,33
572,DLRI,A00120059,5cc塑膠注射空針,10.0,2022-08-28,,,False,34
575,DLRI,A00120059,5cc塑膠注射空針,8.0,2022-09-04,,,False,35
577,DLRI,A00120059,5cc塑膠注射空針,3.0,2022-09-08,,,True,36
581,DLRI,A00120059,5cc塑膠注射空針,6.0,2022-09-18,,,False,37
583,DLRI,A00120059,5cc塑膠注射空針,3.0,2022-09-21,,,True,38
589,DLRI,A00120059,5cc塑膠注射空針,15.0,2022-10-01,,,False,39
598,DLRI,A00120059,5cc塑膠注射空針,19.0,2022-10-09,,,True,40
602,DLRI,A00120059,5cc塑膠注射空針,4.0,2022-10-14,,,True,41
608,DLRI,A00120059,5cc塑膠注射空針,8.0,2022-10-23,,,False,42
614,DLRI,A00120059,5cc塑膠注射空針,6.0,2022-10-29,,,False,43
620,DLRI,A00120059,5cc塑膠注射空針,16.0,2022-11-06,,,False,44
623,DLRI,A00120059,5cc塑膠注射空針,5.0,2022-11-12,,,False,45
630,DLRI,A00120059,5cc塑膠注射空針,19.0,2022-11-20,,,False,46
643,DLRI,A00120059,5cc塑膠注射空針,24.0,2022-11-27,,,False,47
649,DLRI,A00120059,5cc塑膠注射空針,8.0,2022-12-01,,,True,48
654,DLRI,A00120059,5cc塑膠注射空針,11.0,2022-12-11,,,False,49
655,DLRI,A00120059,5cc塑膠注射空針,3.0,2022-12-12,,,True,50
661,DLRI,A00120059,5cc塑膠注射空針,13.0,2022-12-23,,,True,51
670,DLRI,A00120059,5cc塑膠注射空針,13.0,2022-12-31,,,False,52
