,庫房,料號,品名,數量,週,工作日,帳務日期
4940,DLRI,A03295054,安全式注射筆專用針,7.0,1,False,2022-01-09
4948,DLRI,A03295054,安全式注射筆專用針,8.0,2,False,2022-01-16
4961,DLRI,A03295054,安全式注射筆專用針,13.0,3,False,2022-01-23
4975,DLRI,A03295054,安全式注射筆專用針,14.0,4,True,2022-01-30
4988,DLRI,A03295054,安全式注射筆專用針,14.0,5,False,2022-02-06
5002,DLRI,A03295054,安全式注射筆專用針,14.0,6,False,2022-02-13
5011,DLRI,A03295054,安全式注射筆專用針,9.0,7,False,2022-02-20
5018,DLRI,A03295054,安全式注射筆專用針,7.0,8,False,2022-02-27
5024,DLRI,A03295054,安全式注射筆專用針,6.0,9,False,2022-03-05
5031,DLRI,A03295054,安全式注射筆專用針,7.0,10,False,2022-03-13
5038,DLRI,A03295054,安全式注射筆專用針,7.0,11,False,2022-03-20
5045,DLRI,A03295054,安全式注射筆專用針,7.0,12,False,2022-03-27
5053,DLRI,A03295054,安全式注射筆專用針,9.0,13,False,2022-04-03
5062,DLRI,A03295054,安全式注射筆專用針,10.0,14,False,2022-04-10
5069,DLRI,A03295054,安全式注射筆專用針,7.0,15,False,2022-04-17
5082,DLRI,A03295054,安全式注射筆專用針,13.0,16,True,2022-04-24
5096,DLRI,A03295054,安全式注射筆專用針,14.0,17,False,2022-05-01
5110,DLRI,A03295054,安全式注射筆專用針,20.0,18,False,2022-05-08
5131,DLRI,A03295054,安全式注射筆專用針,33.0,19,False,2022-05-15
5150,DLRI,A03295054,安全式注射筆專用針,36.0,20,False,2022-05-22
5165,DLRI,A03295054,安全式注射筆專用針,32.0,21,False,2022-05-29
5181,DLRI,A03295054,安全式注射筆專用針,28.0,22,False,2022-06-05
5197,DLRI,A03295054,安全式注射筆專用針,29.0,23,False,2022-06-12
5211,DLRI,A03295054,安全式注射筆專用針,28.0,24,False,2022-06-19
5225,DLRI,A03295054,安全式注射筆專用針,28.0,25,False,2022-06-26
5239,DLRI,A03295054,安全式注射筆專用針,29.0,26,False,2022-07-03
5252,DLRI,A03295054,安全式注射筆專用針,27.0,27,False,2022-07-10
5265,DLRI,A03295054,安全式注射筆專用針,28.0,28,False,2022-07-17
5272,DLRI,A03295054,安全式注射筆專用針,21.0,29,False,2022-07-24
5282,DLRI,A03295054,安全式注射筆專用針,24.0,30,False,2022-07-31
5295,DLRI,A03295054,安全式注射筆專用針,27.0,31,False,2022-08-07
5309,DLRI,A03295054,安全式注射筆專用針,28.0,32,False,2022-08-14
5322,DLRI,A03295054,安全式注射筆專用針,23.0,33,False,2022-08-21
5336,DLRI,A03295054,安全式注射筆專用針,28.0,34,False,2022-08-28
5350,DLRI,A03295054,安全式注射筆專用針,25.0,35,False,2022-09-04
5364,DLRI,A03295054,安全式注射筆專用針,28.0,36,False,2022-09-11
5378,DLRI,A03295054,安全式注射筆專用針,29.0,37,False,2022-09-18
5392,DLRI,A03295054,安全式注射筆專用針,28.0,38,False,2022-09-25
5406,DLRI,A03295054,安全式注射筆專用針,28.0,39,False,2022-10-02
5421,DLRI,A03295054,安全式注射筆專用針,28.0,40,True,2022-10-09
5436,DLRI,A03295054,安全式注射筆專用針,29.0,41,False,2022-10-16
5451,DLRI,A03295054,安全式注射筆專用針,29.0,42,False,2022-10-23
5465,DLRI,A03295054,安全式注射筆專用針,27.0,43,False,2022-10-30
5479,DLRI,A03295054,安全式注射筆專用針,28.0,44,False,2022-11-06
5493,DLRI,A03295054,安全式注射筆專用針,26.0,45,False,2022-11-13
5507,DLRI,A03295054,安全式注射筆專用針,29.0,46,False,2022-11-20
5515,DLRI,A03295054,安全式注射筆專用針,8.0,47,False,2022-11-27
5522,DLRI,A03295054,安全式注射筆專用針,7.0,48,False,2022-12-04
5529,DLRI,A03295054,安全式注射筆專用針,7.0,49,False,2022-12-11
5539,DLRI,A03295054,安全式注射筆專用針,16.0,50,False,2022-12-18
5553,DLRI,A03295054,安全式注射筆專用針,33.0,51,False,2022-12-25
5569,DLRI,A03295054,安全式注射筆專用針,34.0,52,False,2022-12-31
