,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
7936,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,1,False,2022-01-09,,
7938,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,2,False,2022-01-16,,
7945,DLRI,A04800036,靜脈輸液套，附Y加葯管,8.0,3,True,2022-01-21,,
7950,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,4,True,2022-01-29,,
7954,DLRI,A04800036,靜脈輸液套，附Y加葯管,4.0,5,False,2022-02-06,,
7964,DLRI,A04800036,靜脈輸液套，附Y加葯管,10.0,6,False,2022-02-13,,
7967,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,7,True,2022-02-18,,
7971,DLRI,A04800036,靜脈輸液套，附Y加葯管,4.0,8,False,2022-02-26,,
7978,DLRI,A04800036,靜脈輸液套，附Y加葯管,11.0,9,False,2022-03-06,,
7982,DLRI,A04800036,靜脈輸液套，附Y加葯管,4.0,10,False,2022-03-13,,
7985,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,11,True,2022-03-18,,
7990,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,12,False,2022-03-26,,
7995,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,13,False,2022-04-03,,
7999,DLRI,A04800036,靜脈輸液套，附Y加葯管,6.0,14,False,2022-04-10,,
8002,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,15,True,2022-04-15,,
8005,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,16,True,2022-04-24,,
8013,DLRI,A04800036,靜脈輸液套，附Y加葯管,10.0,17,False,2022-05-01,,
8018,DLRI,A04800036,靜脈輸液套，附Y加葯管,6.0,18,True,2022-05-05,,
8022,DLRI,A04800036,靜脈輸液套，附Y加葯管,4.0,19,True,2022-05-13,,
8026,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,20,False,2022-05-21,,
8036,DLRI,A04800036,靜脈輸液套，附Y加葯管,11.0,21,False,2022-05-29,,
8038,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,22,False,2022-06-04,,
8044,DLRI,A04800036,靜脈輸液套，附Y加葯管,8.0,23,False,2022-06-11,,
8047,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,24,False,2022-06-19,,
8050,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,25,True,2022-06-23,,
8052,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,26,True,2022-07-01,,
8055,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,27,False,2022-07-09,,
8057,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,28,False,2022-07-17,,
7931,DLRI,A04800036,靜脈輸液套，附Y加葯管,0.0,29,False,2022-01-01,202201.0,T-不計價
8065,DLRI,A04800036,靜脈輸液套，附Y加葯管,9.0,30,False,2022-07-30,,
8067,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,31,True,2022-08-04,,
8068,DLRI,A04800036,靜脈輸液套，附Y加葯管,1.0,32,True,2022-08-08,,
8069,DLRI,A04800036,靜脈輸液套，附Y加葯管,1.0,33,True,2022-08-18,,
8071,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,34,True,2022-08-25,,
8072,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,35,False,2022-09-04,,
8074,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,36,True,2022-09-06,,
8077,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,37,False,2022-09-18,,
8083,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,38,True,2022-09-22,,
8086,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,39,False,2022-10-02,,
8096,DLRI,A04800036,靜脈輸液套，附Y加葯管,11.0,40,True,2022-10-09,,
7931,DLRI,A04800036,靜脈輸液套，附Y加葯管,0.0,41,False,2022-01-01,202201.0,T-不計價
8098,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,42,True,2022-10-20,,
8101,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,43,False,2022-10-30,,
8104,DLRI,A04800036,靜脈輸液套，附Y加葯管,3.0,44,True,2022-11-04,,
8106,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,45,True,2022-11-09,,
8110,DLRI,A04800036,靜脈輸液套，附Y加葯管,4.0,46,False,2022-11-20,,
8115,DLRI,A04800036,靜脈輸液套，附Y加葯管,4.0,47,True,2022-11-23,,
7931,DLRI,A04800036,靜脈輸液套，附Y加葯管,0.0,48,False,2022-01-01,202201.0,T-不計價
7931,DLRI,A04800036,靜脈輸液套，附Y加葯管,0.0,49,False,2022-01-01,202201.0,T-不計價
8117,DLRI,A04800036,靜脈輸液套，附Y加葯管,2.0,50,False,2022-12-18,,
8121,DLRI,A04800036,靜脈輸液套，附Y加葯管,5.0,51,False,2022-12-24,,
8126,DLRI,A04800036,靜脈輸液套，附Y加葯管,7.0,52,False,2022-12-31,,
