,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
8178,DLRI,B00306050,彈性紗捲,5.0,1,False,2022-01-08,,
8176,DLRI,B00306050,彈性紗捲,0.0,2,True,2022-01-04,202201.0,T-不計價
8179,DLRI,B00306050,彈性紗捲,2.0,3,False,2022-01-22,,
8181,DLRI,B00306050,彈性紗捲,4.0,4,True,2022-01-29,,
8182,DLRI,B00306050,彈性紗捲,2.0,5,False,2022-02-05,,
8176,DLRI,B00306050,彈性紗捲,0.0,6,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,7,True,2022-01-04,202201.0,T-不計價
8184,DLRI,B00306050,彈性紗捲,4.0,8,False,2022-02-26,,
8187,DLRI,B00306050,彈性紗捲,4.0,9,False,2022-03-05,,
8176,DLRI,B00306050,彈性紗捲,0.0,10,True,2022-01-04,202201.0,T-不計價
8190,DLRI,B00306050,彈性紗捲,5.0,11,False,2022-03-19,,
8193,DLRI,B00306050,彈性紗捲,5.0,12,False,2022-03-27,,
8195,DLRI,B00306050,彈性紗捲,3.0,13,True,2022-03-30,,
8197,DLRI,B00306050,彈性紗捲,3.0,14,False,2022-04-09,,
8198,DLRI,B00306050,彈性紗捲,3.0,15,True,2022-04-13,,
8199,DLRI,B00306050,彈性紗捲,1.0,16,False,2022-04-23,,
8200,DLRI,B00306050,彈性紗捲,1.0,17,True,2022-04-27,,
8176,DLRI,B00306050,彈性紗捲,0.0,18,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,19,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,20,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,21,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,22,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,23,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,24,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,25,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,26,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,27,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,28,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,29,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,30,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,31,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,32,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,33,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,34,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,35,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,36,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,37,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,38,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,39,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,40,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,41,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,42,True,2022-01-04,202201.0,T-不計價
8201,DLRI,B00306050,彈性紗捲,1.0,43,True,2022-10-25,,
8176,DLRI,B00306050,彈性紗捲,0.0,44,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,45,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,46,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,47,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,48,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,49,True,2022-01-04,202201.0,T-不計價
8203,DLRI,B00306050,彈性紗捲,3.0,50,True,2022-12-14,,
8176,DLRI,B00306050,彈性紗捲,0.0,51,True,2022-01-04,202201.0,T-不計價
8176,DLRI,B00306050,彈性紗捲,0.0,52,True,2022-01-04,202201.0,T-不計價
