,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
8549,DLRI,B03110120,人工薄膜,3.0,1,True,2022-01-07,,
8551,DLRI,B03110120,人工薄膜,2.0,2,True,2022-01-14,,
8554,DLRI,B03110120,人工薄膜,3.0,3,False,2022-01-23,,
8561,DLRI,B03110120,人工薄膜,8.0,4,True,2022-01-30,,
8570,DLRI,B03110120,人工薄膜,9.0,5,False,2022-02-06,,
8578,DLRI,B03110120,人工薄膜,10.0,6,False,2022-02-13,,
8589,DLRI,B03110120,人工薄膜,22.0,7,False,2022-02-20,,
8593,DLRI,B03110120,人工薄膜,4.0,8,True,2022-02-25,,
8595,DLRI,B03110120,人工薄膜,2.0,9,True,2022-03-04,,
8598,DLRI,B03110120,人工薄膜,3.0,10,False,2022-03-13,,
8601,DLRI,B03110120,人工薄膜,4.0,11,False,2022-03-20,,
8605,DLRI,B03110120,人工薄膜,4.0,12,True,2022-03-25,,
8608,DLRI,B03110120,人工薄膜,3.0,13,True,2022-04-02,,
8610,DLRI,B03110120,人工薄膜,2.0,14,True,2022-04-08,,
8613,DLRI,B03110120,人工薄膜,4.0,15,True,2022-04-15,,
8618,DLRI,B03110120,人工薄膜,5.0,16,True,2022-04-24,,
8619,DLRI,B03110120,人工薄膜,1.0,17,True,2022-04-25,,
8627,DLRI,B03110120,人工薄膜,11.0,18,False,2022-05-08,,
8630,DLRI,B03110120,人工薄膜,4.0,19,True,2022-05-13,,
8632,DLRI,B03110120,人工薄膜,2.0,20,True,2022-05-20,,
8636,DLRI,B03110120,人工薄膜,4.0,21,False,2022-05-29,,
8641,DLRI,B03110120,人工薄膜,5.0,22,False,2022-06-04,,
8645,DLRI,B03110120,人工薄膜,4.0,23,False,2022-06-12,,
8654,DLRI,B03110120,人工薄膜,9.0,24,False,2022-06-19,,
8659,DLRI,B03110120,人工薄膜,7.0,25,True,2022-06-24,,
8664,DLRI,B03110120,人工薄膜,7.0,26,False,2022-07-02,,
8666,DLRI,B03110120,人工薄膜,2.0,27,True,2022-07-08,,
8669,DLRI,B03110120,人工薄膜,4.0,28,False,2022-07-17,,
8546,DLRI,B03110120,人工薄膜,0.0,29,False,2022-01-01,202201.0,T-不計價
8670,DLRI,B03110120,人工薄膜,1.0,30,True,2022-07-25,,
8672,DLRI,B03110120,人工薄膜,2.0,31,True,2022-08-05,,
8674,DLRI,B03110120,人工薄膜,2.0,32,True,2022-08-12,,
8675,DLRI,B03110120,人工薄膜,1.0,33,True,2022-08-19,,
8676,DLRI,B03110120,人工薄膜,1.0,34,True,2022-08-26,,
8680,DLRI,B03110120,人工薄膜,4.0,35,False,2022-09-03,,
8682,DLRI,B03110120,人工薄膜,2.0,36,True,2022-09-09,,
8686,DLRI,B03110120,人工薄膜,5.0,37,False,2022-09-18,,
8695,DLRI,B03110120,人工薄膜,12.0,38,False,2022-09-25,,
8704,DLRI,B03110120,人工薄膜,10.0,39,False,2022-10-02,,
8708,DLRI,B03110120,人工薄膜,4.0,40,True,2022-10-08,,
8709,DLRI,B03110120,人工薄膜,1.0,41,True,2022-10-11,,
8711,DLRI,B03110120,人工薄膜,2.0,42,True,2022-10-20,,
8712,DLRI,B03110120,人工薄膜,2.0,43,False,2022-10-29,,
8714,DLRI,B03110120,人工薄膜,2.0,44,True,2022-11-04,,
8546,DLRI,B03110120,人工薄膜,0.0,45,False,2022-01-01,202201.0,T-不計價
8546,DLRI,B03110120,人工薄膜,0.0,46,False,2022-01-01,202201.0,T-不計價
8718,DLRI,B03110120,人工薄膜,4.0,47,False,2022-11-26,,
8720,DLRI,B03110120,人工薄膜,2.0,48,True,2022-12-02,,
8722,DLRI,B03110120,人工薄膜,2.0,49,False,2022-12-10,,
8725,DLRI,B03110120,人工薄膜,3.0,50,True,2022-12-15,,
8728,DLRI,B03110120,人工薄膜,3.0,51,False,2022-12-25,,
8733,DLRI,B03110120,人工薄膜,6.0,52,True,2022-12-30,,
