,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,1
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,2
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,3
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,4
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,5
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,6
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,7
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,8
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),2.0,2022-03-03,,,True,9
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,10
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,11
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,12
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,13
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,14
8746,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),2.0,2022-04-14,,,True,15
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,16
8747,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-04-28,,,True,17
8748,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-05-05,,,True,18
8752,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),4.0,2022-05-15,,,False,19
8753,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-05-19,,,True,20
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,21
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,22
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,23
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,24
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,25
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,26
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,27
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,28
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,29
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,30
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,31
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,32
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,33
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,34
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,35
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,36
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,37
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,38
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,39
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,40
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,41
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,42
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,43
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,44
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,45
8744,DLRI,B04805109,豬尾巴導管組專用貼布(use for5~12F),0.0,2022-03-03,202203.0,C-計價,True,46
