,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,1
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,2
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,3
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,4
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,5
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,6
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,7
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,8
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,9
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,10
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,11
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,12
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,13
9058,DLRI,C00733004,3 Lumen  輸液導管組,2.0,2022-04-05,,,False,14
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,15
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,16
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,17
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,18
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,19
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,20
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,21
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,22
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,23
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,24
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,25
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,26
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,27
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,28
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,29
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,30
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,31
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,32
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,33
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,34
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,35
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,36
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,37
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,38
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,39
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,40
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,41
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,42
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,43
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,44
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,45
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,46
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,47
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,48
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,49
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,50
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,51
9057,DLRI,C00733004,3 Lumen  輸液導管組,0.0,2022-04-05,202204.0,C-計價,False,52
