,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
9102,DLRI,C02514164,矽質胃管  16FR,4.0,1,True,2022-01-06,,
9104,DLRI,C02514164,矽質胃管  16FR,2.0,2,True,2022-01-14,,
9105,DLRI,C02514164,矽質胃管  16FR,1.0,3,True,2022-01-17,,
9108,DLRI,C02514164,矽質胃管  16FR,3.0,4,True,2022-01-28,,
9111,DLRI,C02514164,矽質胃管  16FR,3.0,5,False,2022-02-04,,
9112,DLRI,C02514164,矽質胃管  16FR,1.0,6,True,2022-02-07,,
9116,DLRI,C02514164,矽質胃管  16FR,4.0,7,True,2022-02-17,,
9117,DLRI,C02514164,矽質胃管  16FR,1.0,8,False,2022-02-26,,
9120,DLRI,C02514164,矽質胃管  16FR,3.0,9,True,2022-03-04,,
9121,DLRI,C02514164,矽質胃管  16FR,1.0,10,True,2022-03-07,,
9124,DLRI,C02514164,矽質胃管  16FR,3.0,11,True,2022-03-17,,
9125,DLRI,C02514164,矽質胃管  16FR,1.0,12,True,2022-03-24,,
9126,DLRI,C02514164,矽質胃管  16FR,1.0,13,True,2022-03-28,,
9132,DLRI,C02514164,矽質胃管  16FR,6.0,14,True,2022-04-08,,
9135,DLRI,C02514164,矽質胃管  16FR,3.0,15,True,2022-04-15,,
9136,DLRI,C02514164,矽質胃管  16FR,1.0,16,True,2022-04-18,,
9138,DLRI,C02514164,矽質胃管  16FR,2.0,17,True,2022-04-28,,
9141,DLRI,C02514164,矽質胃管  16FR,3.0,18,True,2022-05-06,,
9146,DLRI,C02514164,矽質胃管  16FR,5.0,19,True,2022-05-12,,
9148,DLRI,C02514164,矽質胃管  16FR,2.0,20,True,2022-05-18,,
9099,DLRI,C02514164,矽質胃管  16FR,0.0,21,False,2022-01-03,202201.0,C-計價
9151,DLRI,C02514164,矽質胃管  16FR,3.0,22,True,2022-06-02,,
9154,DLRI,C02514164,矽質胃管  16FR,3.0,23,True,2022-06-09,,
9155,DLRI,C02514164,矽質胃管  16FR,1.0,24,True,2022-06-16,,
9156,DLRI,C02514164,矽質胃管  16FR,1.0,25,True,2022-06-21,,
9160,DLRI,C02514164,矽質胃管  16FR,4.0,26,True,2022-07-01,,
9163,DLRI,C02514164,矽質胃管  16FR,3.0,27,True,2022-07-06,,
9165,DLRI,C02514164,矽質胃管  16FR,2.0,28,True,2022-07-11,,
9166,DLRI,C02514164,矽質胃管  16FR,1.0,29,True,2022-07-18,,
9167,DLRI,C02514164,矽質胃管  16FR,1.0,30,True,2022-07-27,,
9172,DLRI,C02514164,矽質胃管  16FR,5.0,31,True,2022-08-02,,
9175,DLRI,C02514164,矽質胃管  16FR,3.0,32,True,2022-08-11,,
9176,DLRI,C02514164,矽質胃管  16FR,1.0,33,True,2022-08-18,,
9099,DLRI,C02514164,矽質胃管  16FR,0.0,34,False,2022-01-03,202201.0,C-計價
9182,DLRI,C02514164,矽質胃管  16FR,6.0,35,True,2022-09-02,,
9184,DLRI,C02514164,矽質胃管  16FR,2.0,36,True,2022-09-08,,
9185,DLRI,C02514164,矽質胃管  16FR,1.0,37,False,2022-09-12,,
9186,DLRI,C02514164,矽質胃管  16FR,1.0,38,True,2022-09-19,,
9188,DLRI,C02514164,矽質胃管  16FR,2.0,39,True,2022-09-29,,
9193,DLRI,C02514164,矽質胃管  16FR,5.0,40,False,2022-10-07,,
9194,DLRI,C02514164,矽質胃管  16FR,1.0,41,True,2022-10-12,,
9195,DLRI,C02514164,矽質胃管  16FR,1.0,42,True,2022-10-18,,
9197,DLRI,C02514164,矽質胃管  16FR,2.0,43,True,2022-10-27,,
9201,DLRI,C02514164,矽質胃管  16FR,4.0,44,True,2022-11-03,,
9202,DLRI,C02514164,矽質胃管  16FR,1.0,45,True,2022-11-07,,
9204,DLRI,C02514164,矽質胃管  16FR,2.0,46,True,2022-11-18,,
9205,DLRI,C02514164,矽質胃管  16FR,1.0,47,True,2022-11-24,,
9208,DLRI,C02514164,矽質胃管  16FR,3.0,48,True,2022-12-02,,
9212,DLRI,C02514164,矽質胃管  16FR,4.0,49,True,2022-12-07,,
9214,DLRI,C02514164,矽質胃管  16FR,2.0,50,False,2022-12-18,,
9099,DLRI,C02514164,矽質胃管  16FR,0.0,51,False,2022-01-03,202201.0,C-計價
9217,DLRI,C02514164,矽質胃管  16FR,3.0,52,True,2022-12-28,,
