,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,1,True,2022-01-04,,
10014,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,2,True,2022-01-12,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,3,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,4,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,5,True,2022-01-04,202201.0,T-不計價
10016,DLRI,D00320301,3-0 尼龍線  Nylon,2.0,6,True,2022-02-11,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,7,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,8,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,9,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,10,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,11,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,12,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,13,True,2022-01-04,202201.0,T-不計價
10017,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,14,False,2022-04-05,,
10018,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,15,True,2022-04-12,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,16,True,2022-01-04,202201.0,T-不計價
10019,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,17,True,2022-04-28,,
10020,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,18,True,2022-05-06,,
10021,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,19,True,2022-05-13,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,20,True,2022-01-04,202201.0,T-不計價
10023,DLRI,D00320301,3-0 尼龍線  Nylon,2.0,21,False,2022-05-28,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,22,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,23,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,24,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,25,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,26,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,27,True,2022-01-04,202201.0,T-不計價
10025,DLRI,D00320301,3-0 尼龍線  Nylon,2.0,28,False,2022-07-17,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,29,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,30,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,31,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,32,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,33,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,34,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,35,True,2022-01-04,202201.0,T-不計價
10026,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,36,True,2022-09-08,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,37,True,2022-01-04,202201.0,T-不計價
10027,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,38,True,2022-09-21,,
10029,DLRI,D00320301,3-0 尼龍線  Nylon,2.0,39,False,2022-10-01,,
10030,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,40,False,2022-10-07,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,41,True,2022-01-04,202201.0,T-不計價
10031,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,42,True,2022-10-20,,
10032,DLRI,D00320301,3-0 尼龍線  Nylon,2.0,43,False,2022-10-29,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,44,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,45,True,2022-01-04,202201.0,T-不計價
10033,DLRI,D00320301,3-0 尼龍線  Nylon,2.0,46,False,2022-11-19,,
10034,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,47,True,2022-11-21,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,48,True,2022-01-04,202201.0,T-不計價
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,49,True,2022-01-04,202201.0,T-不計價
10035,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,50,False,2022-12-18,,
10013,DLRI,D00320301,3-0 尼龍線  Nylon,0.0,51,True,2022-01-04,202201.0,T-不計價
10036,DLRI,D00320301,3-0 尼龍線  Nylon,1.0,52,True,2022-12-28,,
