,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,1
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,2
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,3
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,4
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,5
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,6
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,7
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,8
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,9
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,10
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,11
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,12
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,13
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,14
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,15
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,16
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,17
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,18
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,19
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-05-18,,,True,20
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,21
10047,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-05-18,202205.0,T-不計價,True,22
10054,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),7.0,2022-06-12,,,False,23
10074,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),20.0,2022-06-19,,,False,24
10091,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),17.0,2022-06-26,,,False,25
10110,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),19.0,2022-07-03,,,False,26
10129,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),19.0,2022-07-10,,,False,27
10152,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),23.0,2022-07-17,,,False,28
10169,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),17.0,2022-07-23,,,False,29
10193,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),24.0,2022-07-31,,,False,30
10218,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),25.0,2022-08-07,,,False,31
10245,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),27.0,2022-08-14,,,False,32
10275,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),30.0,2022-08-21,,,False,33
10303,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),28.0,2022-08-28,,,False,34
10330,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),27.0,2022-09-04,,,False,35
10364,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),33.0,2022-09-11,,,False,36
10388,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),24.0,2022-09-18,,,False,37
10412,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),24.0,2022-09-25,,,False,38
10431,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),19.0,2022-10-02,,,False,39
10452,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),21.0,2022-10-09,,,True,40
10474,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),22.0,2022-10-16,,,False,41
10495,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),21.0,2022-10-23,,,False,42
10517,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),22.0,2022-10-30,,,False,43
10536,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),19.0,2022-11-06,,,False,44
10551,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),15.0,2022-11-13,,,False,45
10574,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),23.0,2022-11-20,,,False,46
10591,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),17.0,2022-11-27,,,False,47
10610,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),19.0,2022-12-04,,,False,48
10626,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),16.0,2022-12-11,,,False,49
10639,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),13.0,2022-12-18,,,False,50
10657,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),18.0,2022-12-25,,,False,51
10673,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),16.0,2022-12-31,,,False,52
