,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,1
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,2
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,3
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,4
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,5
10674,DLRI,F01700003,真空吸引瓶,2.0,2022-02-11,,,True,6
10675,DLRI,F01700003,真空吸引瓶,2.0,2022-02-15,,,True,7
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,8
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,9
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,10
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,11
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,12
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,13
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,14
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,15
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,16
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,17
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,18
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,19
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,20
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,21
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,22
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,23
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,24
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,25
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,26
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,27
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,28
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,29
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,30
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,31
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,32
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,33
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,34
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,35
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,36
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,37
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,38
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,39
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,40
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,41
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,42
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,43
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,44
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,45
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,46
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,47
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,48
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,49
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,50
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,51
10674,DLRI,F01700003,真空吸引瓶,0.0,2022-02-11,202202.0,T-不計價,True,52
