,庫房,料號,品名,數量,週,工作日,帳務日期
10788,DLRI,G81500272,血糖試紙,73.0,1,False,2022-01-09
10829,DLRI,G81500272,血糖試紙,68.0,2,False,2022-01-16
10864,DLRI,G81500272,血糖試紙,62.0,3,False,2022-01-23
10897,DLRI,G81500272,血糖試紙,52.0,4,True,2022-01-30
10942,DLRI,G81500272,血糖試紙,76.0,5,False,2022-02-06
10995,DLRI,G81500272,血糖試紙,78.0,6,False,2022-02-13
11034,DLRI,G81500272,血糖試紙,56.0,7,False,2022-02-20
11054,DLRI,G81500272,血糖試紙,44.0,8,False,2022-02-27
11083,DLRI,G81500272,血糖試紙,45.0,9,False,2022-03-06
11107,DLRI,G81500272,血糖試紙,34.0,10,False,2022-03-13
11126,DLRI,G81500272,血糖試紙,31.0,11,False,2022-03-20
11157,DLRI,G81500272,血糖試紙,41.0,12,False,2022-03-27
11199,DLRI,G81500272,血糖試紙,72.0,13,False,2022-04-03
11235,DLRI,G81500272,血糖試紙,76.0,14,False,2022-04-10
11277,DLRI,G81500272,血糖試紙,72.0,15,False,2022-04-17
11322,DLRI,G81500272,血糖試紙,79.0,16,True,2022-04-24
11382,DLRI,G81500272,血糖試紙,66.0,17,False,2022-05-01
11422,DLRI,G81500272,血糖試紙,51.0,18,False,2022-05-08
11490,DLRI,G81500272,血糖試紙,79.0,19,False,2022-05-15
11556,DLRI,G81500272,血糖試紙,97.0,20,False,2022-05-22
11602,DLRI,G81500272,血糖試紙,81.0,21,False,2022-05-29
11634,DLRI,G81500272,血糖試紙,60.0,22,False,2022-06-05
11662,DLRI,G81500272,血糖試紙,61.0,23,False,2022-06-12
11685,DLRI,G81500272,血糖試紙,44.0,24,False,2022-06-19
11699,DLRI,G81500272,血糖試紙,16.0,25,False,2022-06-26
11721,DLRI,G81500272,血糖試紙,43.0,26,False,2022-07-03
11734,DLRI,G81500272,血糖試紙,25.0,27,False,2022-07-10
11741,DLRI,G81500272,血糖試紙,16.0,28,False,2022-07-17
11752,DLRI,G81500272,血糖試紙,23.0,29,False,2022-07-24
11760,DLRI,G81500272,血糖試紙,21.0,30,False,2022-07-31
11779,DLRI,G81500272,血糖試紙,41.0,31,False,2022-08-07
11798,DLRI,G81500272,血糖試紙,38.0,32,False,2022-08-14
11817,DLRI,G81500272,血糖試紙,52.0,33,False,2022-08-21
11833,DLRI,G81500272,血糖試紙,37.0,34,False,2022-08-28
11848,DLRI,G81500272,血糖試紙,27.0,35,True,2022-09-02
11865,DLRI,G81500272,血糖試紙,25.0,36,False,2022-09-11
11875,DLRI,G81500272,血糖試紙,14.0,37,True,2022-09-15
11877,DLRI,G81500272,血糖試紙,2.0,38,False,2022-09-24
11880,DLRI,G81500272,血糖試紙,3.0,39,False,2022-10-02
11904,DLRI,G81500272,血糖試紙,49.0,40,True,2022-10-09
11927,DLRI,G81500272,血糖試紙,37.0,41,False,2022-10-16
11945,DLRI,G81500272,血糖試紙,32.0,42,False,2022-10-23
11951,DLRI,G81500272,血糖試紙,10.0,43,False,2022-10-30
11969,DLRI,G81500272,血糖試紙,35.0,44,False,2022-11-06
11976,DLRI,G81500272,血糖試紙,9.0,45,False,2022-11-13
11986,DLRI,G81500272,血糖試紙,15.0,46,False,2022-11-20
11987,DLRI,G81500272,血糖試紙,1.0,47,True,2022-11-21
11988,DLRI,G81500272,血糖試紙,1.0,48,False,2022-12-03
11993,DLRI,G81500272,血糖試紙,6.0,49,False,2022-12-11
12005,DLRI,G81500272,血糖試紙,19.0,50,False,2022-12-18
12020,DLRI,G81500272,血糖試紙,18.0,51,False,2022-12-25
12035,DLRI,G81500272,血糖試紙,50.0,52,False,2022-12-31
