,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,1
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,2
12045,DLRI,I16200040,CPUI用細菌過濾器,10.0,2022-01-20,,,True,3
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,4
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,5
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,6
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,7
12059,DLRI,I16200040,CPUI用細菌過濾器,14.0,2022-02-21,,,True,8
12060,DLRI,I16200040,CPUI用細菌過濾器,1.0,2022-03-02,,,True,9
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,10
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,11
12068,DLRI,I16200040,CPUI用細菌過濾器,10.0,2022-03-24,,,True,12
12077,DLRI,I16200040,CPUI用細菌過濾器,9.0,2022-04-01,,,True,13
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,14
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,15
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,16
12085,DLRI,I16200040,CPUI用細菌過濾器,9.0,2022-04-25,,,True,17
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,18
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,19
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,20
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,21
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,22
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,23
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,24
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,25
12092,DLRI,I16200040,CPUI用細菌過濾器,8.0,2022-06-27,,,True,26
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,27
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,28
12093,DLRI,I16200040,CPUI用細菌過濾器,1.0,2022-07-21,,,True,29
12101,DLRI,I16200040,CPUI用細菌過濾器,9.0,2022-07-29,,,True,30
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,31
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,32
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,33
12109,DLRI,I16200040,CPUI用細菌過濾器,8.0,2022-08-22,,,True,34
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,35
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,36
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,37
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,38
12123,DLRI,I16200040,CPUI用細菌過濾器,16.0,2022-09-27,,,True,39
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,40
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,41
12130,DLRI,I16200040,CPUI用細菌過濾器,7.0,2022-10-21,,,True,42
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,43
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,44
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,45
12131,DLRI,I16200040,CPUI用細菌過濾器,1.0,2022-11-19,,,False,46
12135,DLRI,I16200040,CPUI用細菌過濾器,4.0,2022-11-27,,,False,47
12136,DLRI,I16200040,CPUI用細菌過濾器,1.0,2022-11-29,,,True,48
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,49
12137,DLRI,I16200040,CPUI用細菌過濾器,2.0,2022-12-16,,,True,50
12036,DLRI,I16200040,CPUI用細菌過濾器,0.0,2022-01-18,202201.0,T-不計價,True,51
12153,DLRI,I16200040,CPUI用細菌過濾器,16.0,2022-12-28,,,True,52
