,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
12619,DLRI,K80004044,Push Button Blood Collection,31.0,1,False,2022-01-09,,
12624,DLRI,K80004044,Push Button Blood Collection,5.0,2,True,2022-01-12,,
12626,DLRI,K80004044,Push Button Blood Collection,4.0,3,True,2022-01-20,,
12631,DLRI,K80004044,Push Button Blood Collection,6.0,4,True,2022-01-28,,
12640,DLRI,K80004044,Push Button Blood Collection,14.0,5,False,2022-02-06,,
12650,DLRI,K80004044,Push Button Blood Collection,18.0,6,False,2022-02-12,,
12655,DLRI,K80004044,Push Button Blood Collection,12.0,7,True,2022-02-18,,
12658,DLRI,K80004044,Push Button Blood Collection,5.0,8,False,2022-02-27,,
12671,DLRI,K80004044,Push Button Blood Collection,22.0,9,False,2022-03-05,,
12677,DLRI,K80004044,Push Button Blood Collection,11.0,10,False,2022-03-13,,
12679,DLRI,K80004044,Push Button Blood Collection,3.0,11,True,2022-03-15,,
12604,DLRI,K80004044,Push Button Blood Collection,0.0,12,False,2022-01-03,202201.0,T-不計價
12684,DLRI,K80004044,Push Button Blood Collection,8.0,13,True,2022-04-01,,
12695,DLRI,K80004044,Push Button Blood Collection,23.0,14,False,2022-04-10,,
12702,DLRI,K80004044,Push Button Blood Collection,9.0,15,False,2022-04-16,,
12708,DLRI,K80004044,Push Button Blood Collection,10.0,16,True,2022-04-24,,
12713,DLRI,K80004044,Push Button Blood Collection,9.0,17,False,2022-05-01,,
12727,DLRI,K80004044,Push Button Blood Collection,33.0,18,False,2022-05-08,,
12737,DLRI,K80004044,Push Button Blood Collection,14.0,19,False,2022-05-14,,
12739,DLRI,K80004044,Push Button Blood Collection,5.0,20,True,2022-05-18,,
12743,DLRI,K80004044,Push Button Blood Collection,13.0,21,False,2022-05-28,,
12746,DLRI,K80004044,Push Button Blood Collection,4.0,22,True,2022-06-01,,
12753,DLRI,K80004044,Push Button Blood Collection,12.0,23,True,2022-06-09,,
12757,DLRI,K80004044,Push Button Blood Collection,11.0,24,False,2022-06-18,,
12759,DLRI,K80004044,Push Button Blood Collection,6.0,25,True,2022-06-23,,
12763,DLRI,K80004044,Push Button Blood Collection,4.0,26,False,2022-07-03,,
12770,DLRI,K80004044,Push Button Blood Collection,17.0,27,False,2022-07-09,,
12781,DLRI,K80004044,Push Button Blood Collection,30.0,28,False,2022-07-17,,
12784,DLRI,K80004044,Push Button Blood Collection,4.0,29,False,2022-07-24,,
12787,DLRI,K80004044,Push Button Blood Collection,9.0,30,False,2022-07-30,,
12793,DLRI,K80004044,Push Button Blood Collection,13.0,31,True,2022-08-05,,
12798,DLRI,K80004044,Push Button Blood Collection,6.0,32,True,2022-08-10,,
12800,DLRI,K80004044,Push Button Blood Collection,4.0,33,False,2022-08-20,,
12802,DLRI,K80004044,Push Button Blood Collection,2.0,34,True,2022-08-25,,
12804,DLRI,K80004044,Push Button Blood Collection,5.0,35,False,2022-09-04,,
12811,DLRI,K80004044,Push Button Blood Collection,11.0,36,True,2022-09-08,,
12820,DLRI,K80004044,Push Button Blood Collection,13.0,37,False,2022-09-17,,
12824,DLRI,K80004044,Push Button Blood Collection,6.0,38,True,2022-09-23,,
12829,DLRI,K80004044,Push Button Blood Collection,11.0,39,False,2022-10-02,,
12842,DLRI,K80004044,Push Button Blood Collection,21.0,40,True,2022-10-09,,
12846,DLRI,K80004044,Push Button Blood Collection,4.0,41,True,2022-10-14,,
12848,DLRI,K80004044,Push Button Blood Collection,10.0,42,False,2022-10-23,,
12850,DLRI,K80004044,Push Button Blood Collection,4.0,43,True,2022-10-28,,
12858,DLRI,K80004044,Push Button Blood Collection,12.0,44,True,2022-11-03,,
12859,DLRI,K80004044,Push Button Blood Collection,4.0,45,False,2022-11-12,,
12865,DLRI,K80004044,Push Button Blood Collection,13.0,46,False,2022-11-19,,
12866,DLRI,K80004044,Push Button Blood Collection,1.0,47,True,2022-11-21,,
12872,DLRI,K80004044,Push Button Blood Collection,6.0,48,False,2022-12-03,,
12879,DLRI,K80004044,Push Button Blood Collection,9.0,49,True,2022-12-07,,
12880,DLRI,K80004044,Push Button Blood Collection,1.0,50,False,2022-12-18,,
12882,DLRI,K80004044,Push Button Blood Collection,6.0,51,True,2022-12-23,,
12887,DLRI,K80004044,Push Button Blood Collection,6.0,52,False,2022-12-31,,
