,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,1
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,2
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,3
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,4
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,5
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,6
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,7
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,8
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,9
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,10
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,11
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,12
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,13
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,14
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,15
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,16
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,17
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,18
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,19
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,20
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,21
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,22
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,23
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,24
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,25
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,26
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,27
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,28
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,29
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,30
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,31
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,32
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,33
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,34
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,35
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,36
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,37
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,38
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,39
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,40
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,41
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,42
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,43
12920,DLRI,P21800002,Lapack  人工肛門袋,21.0,2022-11-06,,,False,44
12927,DLRI,P21800002,Lapack  人工肛門袋,20.0,2022-11-13,,,False,45
12928,DLRI,P21800002,Lapack  人工肛門袋,2.0,2022-11-14,,,True,46
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,47
12930,DLRI,P21800002,Lapack  人工肛門袋,2.0,2022-12-02,,,True,48
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,49
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,50
12914,DLRI,P21800002,Lapack  人工肛門袋,0.0,2022-10-31,202210.0,T-不計價,True,51
12933,DLRI,P21800002,Lapack  人工肛門袋,4.0,2022-12-30,,,True,52
