,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,1
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,2
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,3
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,4
13154,DLRI,T01410759,氣切口罩,1.0,2022-02-05,,,False,5
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,6
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,7
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,8
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,9
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,10
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,11
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,12
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,13
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,14
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,15
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,16
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,17
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,18
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,19
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,20
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,21
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,22
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,23
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,24
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,25
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,26
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,27
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,28
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,29
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,30
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,31
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,32
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,33
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,34
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,35
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,36
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,37
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,38
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,39
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,40
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,41
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,42
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,43
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,44
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,45
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,46
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,47
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,48
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,49
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,50
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,51
13154,DLRI,T01410759,氣切口罩,0.0,2022-02-05,202202.0,T-不計價,False,52
