,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
13679,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),6.0,1,True,2022-01-06,,
13681,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2,True,2022-01-14,,
13684,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,3,True,2022-01-17,,
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,4,False,2022-01-03,202201.0,T-不計價
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,5,False,2022-01-03,202201.0,T-不計價
13686,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,6,True,2022-02-07,,
13687,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,7,True,2022-02-15,,
13689,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,8,False,2022-02-26,,
13691,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,9,False,2022-03-06,,
13693,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,10,False,2022-03-12,,
13697,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,11,True,2022-03-16,,
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,12,False,2022-01-03,202201.0,T-不計價
13699,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,13,True,2022-03-28,,
13701,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,14,True,2022-04-08,,
13702,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,15,True,2022-04-12,,
13705,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,16,True,2022-04-18,,
13708,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,17,True,2022-04-28,,
13712,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,18,True,2022-05-05,,
13713,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,19,True,2022-05-11,,
13716,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,20,True,2022-05-18,,
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,21,False,2022-01-03,202201.0,T-不計價
13717,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,22,True,2022-05-31,,
13719,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,23,False,2022-06-11,,
13722,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,24,True,2022-06-16,,
13724,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,25,True,2022-06-21,,
13725,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,26,True,2022-06-27,,
13729,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,27,True,2022-07-07,,
13732,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,28,True,2022-07-12,,
13735,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,29,True,2022-07-20,,
13736,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,30,True,2022-07-27,,
13737,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,31,True,2022-08-02,,
13740,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,32,True,2022-08-11,,
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,33,False,2022-01-03,202201.0,T-不計價
13741,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,34,True,2022-08-22,,
13746,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),5.0,35,True,2022-09-01,,
13749,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,36,True,2022-09-08,,
13751,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,37,False,2022-09-12,,
13752,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,38,True,2022-09-19,,
13753,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,39,True,2022-09-29,,
13757,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,40,False,2022-10-03,,
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,41,False,2022-01-03,202201.0,T-不計價
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,42,False,2022-01-03,202201.0,T-不計價
13758,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,43,True,2022-10-26,,
13760,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,44,True,2022-11-02,,
13761,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,45,True,2022-11-07,,
13764,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,46,True,2022-11-18,,
13765,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,47,True,2022-11-24,,
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,48,False,2022-01-03,202201.0,T-不計價
13766,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,49,True,2022-12-07,,
13767,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,50,False,2022-12-18,,
13674,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,51,False,2022-01-03,202201.0,T-不計價
13770,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,52,True,2022-12-28,,
