,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,1
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,2
13772,DLRI,V02204118,手術刀片,1.0,2022-01-19,,,True,3
13774,DLRI,V02204118,手術刀片,2.0,2022-01-25,,,True,4
13777,DLRI,V02204118,手術刀片,2.0,2022-02-04,,,False,5
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,6
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,7
13778,DLRI,V02204118,手術刀片,1.0,2022-02-24,,,True,8
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,9
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,10
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,11
13779,DLRI,V02204118,手術刀片,1.0,2022-03-22,,,True,12
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,13
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,14
13780,DLRI,V02204118,手術刀片,1.0,2022-04-14,,,True,15
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,16
13781,DLRI,V02204118,手術刀片,1.0,2022-04-26,,,True,17
13782,DLRI,V02204118,手術刀片,1.0,2022-05-06,,,True,18
13784,DLRI,V02204118,手術刀片,3.0,2022-05-13,,,True,19
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,20
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,21
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,22
13785,DLRI,V02204118,手術刀片,1.0,2022-06-09,,,True,23
13787,DLRI,V02204118,手術刀片,2.0,2022-06-15,,,True,24
13788,DLRI,V02204118,手術刀片,1.0,2022-06-22,,,True,25
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,26
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,27
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,28
13790,DLRI,V02204118,手術刀片,2.0,2022-07-21,,,True,29
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,30
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,31
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,32
13793,DLRI,V02204118,手術刀片,4.0,2022-08-18,,,True,33
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,34
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,35
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,36
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,37
13795,DLRI,V02204118,手術刀片,2.0,2022-09-22,,,True,38
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,39
13796,DLRI,V02204118,手術刀片,1.0,2022-10-04,,,False,40
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,41
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,42
13797,DLRI,V02204118,手術刀片,1.0,2022-10-30,,,False,43
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,44
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,45
13798,DLRI,V02204118,手術刀片,1.0,2022-11-14,,,True,46
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,47
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,48
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,49
13799,DLRI,V02204118,手術刀片,2.0,2022-12-14,,,True,50
13772,DLRI,V02204118,手術刀片,0.0,2022-01-19,202201.0,T-不計價,True,51
13800,DLRI,V02204118,手術刀片,1.0,2022-12-30,,,True,52
