,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLN5,A00120017,1cc PVC注射空針 無螺紋,1.0,2019-01-07,2,True
1,DLN5,A00120017,1cc PVC注射空針 無螺紋,1.0,2019-01-21,4,True
2,DLN5,A00120017,1cc PVC注射空針 無螺紋,1.0,2019-01-25,4,True
3,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-01,1,False
4,DLN5,A00120033,2.5-3cc PVC 注射空針,3.0,2019-01-01,1,False
5,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-01,1,False
6,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-01,1,False
7,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-01,1,False
8,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-01,1,False
9,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-01,1,False
10,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-01,1,False
11,DLN5,A00120033,2.5-3cc PVC 注射空針,3.0,2019-01-01,1,False
12,DLN5,A00120033,2.5-3cc PVC 注射空針,3.0,2019-01-01,1,False
13,DLN5,A00120033,2.5-3cc PVC 注射空針,3.0,2019-01-01,1,False
14,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-02,1,True
15,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-02,1,True
16,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-02,1,True
17,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-02,1,True
18,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-02,1,True
19,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-02,1,True
20,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-02,1,True
21,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-02,1,True
22,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-02,1,True
23,DLN5,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-02,1,True
24,DLN5,A00120033,2.5-3cc PVC 注射空針,3.0,2019-01-03,1,True
25,DLN5,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-03,1,True
26,DLN5,A00120033,2.5-3cc PVC 注射空針,4.0,2019-01-03,1,True
