,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLRI,A00120025,2.5-3cc PVC 注射空針,-1.0,2019-01-01,1,False
1,DLRI,A00120025,2.5-3cc PVC 注射空針,1.0,2019-01-01,1,False
2,DLRI,A00120025,2.5-3cc PVC 注射空針,5.0,2019-01-02,1,True
3,DLRI,A00120025,2.5-3cc PVC 注射空針,-5.0,2019-01-02,1,True
4,DLRI,A00120025,2.5-3cc PVC 注射空針,-2.0,2019-01-06,1,False
5,DLRI,A00120025,2.5-3cc PVC 注射空針,2.0,2019-01-06,1,False
6,DLRI,A00120025,2.5-3cc PVC 注射空針,-2.0,2019-01-19,3,False
7,DLRI,A00120025,2.5-3cc PVC 注射空針,2.0,2019-01-19,3,False
8,DLRI,A00120025,2.5-3cc PVC 注射空針,-1.0,2019-01-25,4,True
9,DLRI,A00120025,2.5-3cc PVC 注射空針,1.0,2019-01-25,4,True
10,DLRI,A00120033,2.5-3cc PVC 注射空針,5.0,2019-01-01,1,False
11,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-01,1,False
12,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-03,1,True
13,DLRI,A00120033,2.5-3cc PVC 注射空針,-1.0,2019-01-05,1,False
14,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-05,1,False
15,DLRI,A00120033,2.5-3cc PVC 注射空針,3.0,2019-01-05,1,False
16,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-05,1,False
17,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-05,1,False
18,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-05,1,False
19,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-06,1,False
20,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-06,1,False
21,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-07,2,True
22,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-07,2,True
23,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-07,2,True
24,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-08,2,True
25,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-09,2,True
26,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-09,2,True
27,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-10,2,True
28,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-11,2,True
29,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-14,3,True
30,DLRI,A00120033,2.5-3cc PVC 注射空針,4.0,2019-01-15,3,True
31,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-15,3,True
32,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-15,3,True
33,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-16,3,True
34,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-16,3,True
35,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-19,3,False
36,DLRI,A00120033,2.5-3cc PVC 注射空針,3.0,2019-01-19,3,False
37,DLRI,A00120033,2.5-3cc PVC 注射空針,4.0,2019-01-20,3,False
38,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-20,3,False
39,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-23,4,True
40,DLRI,A00120033,2.5-3cc PVC 注射空針,4.0,2019-01-24,4,True
41,DLRI,A00120033,2.5-3cc PVC 注射空針,7.0,2019-01-24,4,True
42,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-25,4,True
43,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-25,4,True
44,DLRI,A00120033,2.5-3cc PVC 注射空針,4.0,2019-01-25,4,True
45,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-25,4,True
46,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-26,4,False
47,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-26,4,False
48,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-27,4,False
49,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-27,4,False
50,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-28,5,True
51,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-28,5,True
52,DLRI,A00120033,2.5-3cc PVC 注射空針,2.0,2019-01-29,5,True
53,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-29,5,True
54,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-30,5,True
55,DLRI,A00120033,2.5-3cc PVC 注射空針,1.0,2019-01-31,5,True
56,DLRI,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True
57,DLRI,A00120067,5cc 塑膠注射空針,1.0,2019-01-03,1,True
58,DLRI,A00120067,5cc 塑膠注射空針,1.0,2019-01-05,1,False
59,DLRI,A00120067,5cc 塑膠注射空針,1.0,2019-01-06,1,False
60,DLRI,A00120067,5cc 塑膠注射空針,1.0,2019-01-06,1,False
