,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-01,1,False
1,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-30,5,False
2,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-01,1,False
3,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-01,1,False
4,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-01,1,False
5,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-01,1,False
6,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-01,1,False
7,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-01,1,False
8,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-01,1,False
9,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-01,1,False
10,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-01,1,False
11,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-01,1,False
12,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-01,1,False
13,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-02,1,True
14,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-02,1,True
15,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-02,1,True
16,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-02,1,True
17,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-02,1,True
18,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-02,1,True
19,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-02,1,True
20,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-02,1,True
21,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-03,1,True
22,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-03,1,True
23,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-03,1,True
24,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-03,1,True
25,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-03,1,True
26,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-03,1,True
27,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-03,1,True
28,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-04,1,False
29,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-04,1,False
30,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-04,1,False
31,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-04,1,False
32,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-04,1,False
33,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-04,1,False
34,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-04,1,False
35,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-05,1,False
36,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-05,1,False
37,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-05,1,False
38,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-05,1,False
39,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-05,1,False
40,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-05,1,False
41,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-05,1,False
42,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-05,1,False
43,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-06,2,True
44,DLN8,A00120033,2.5-3cc PVC 注射空針,5.0,2020-01-06,2,True
45,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-06,2,True
46,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-06,2,True
47,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-06,2,True
48,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-06,2,True
49,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-06,2,True
50,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-06,2,True
51,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-07,2,True
52,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-07,2,True
53,DLN8,A00120033,2.5-3cc PVC 注射空針,6.0,2020-01-07,2,True
54,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-07,2,True
55,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-07,2,True
56,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-07,2,True
57,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-07,2,True
58,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-07,2,True
59,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-07,2,True
60,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-08,2,True
61,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-08,2,True
62,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-08,2,True
63,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-08,2,True
64,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-08,2,True
65,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-08,2,True
66,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-08,2,True
67,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-08,2,True
68,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-08,2,True
69,DLN8,A00120033,2.5-3cc PVC 注射空針,5.0,2020-01-08,2,True
70,DLN8,A00120033,2.5-3cc PVC 注射空針,7.0,2020-01-08,2,True
71,DLN8,A00120033,2.5-3cc PVC 注射空針,5.0,2020-01-08,2,True
72,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-08,2,True
73,DLN8,A00120033,2.5-3cc PVC 注射空針,5.0,2020-01-08,2,True
74,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-09,2,True
75,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-09,2,True
76,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-09,2,True
77,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-09,2,True
78,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-09,2,True
79,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-09,2,True
80,DLN8,A00120033,2.5-3cc PVC 注射空針,4.0,2020-01-09,2,True
81,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-09,2,True
82,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-09,2,True
83,DLN8,A00120033,2.5-3cc PVC 注射空針,3.0,2020-01-09,2,True
84,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-09,2,True
85,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-09,2,True
86,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-10,2,True
87,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-10,2,True
88,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-10,2,True
89,DLN8,A00120033,2.5-3cc PVC 注射空針,2.0,2020-01-10,2,True
90,DLN8,A00120033,2.5-3cc PVC 注射空針,1.0,2020-01-10,2,True
