,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-01,1,False
1,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-01,1,False
2,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-02,1,True
3,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-02,1,True
4,DLI1,A00120017,1cc PVC注射空針 無螺紋,3.0,2020-01-02,1,True
5,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-04,1,False
6,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-06,2,True
7,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-07,2,True
8,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-07,2,True
9,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-07,2,True
10,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-08,2,True
11,DLI1,A00120017,1cc PVC注射空針 無螺紋,4.0,2020-01-08,2,True
12,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-08,2,True
13,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-09,2,True
14,DLI1,A00120017,1cc PVC注射空針 無螺紋,3.0,2020-01-09,2,True
15,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-09,2,True
16,DLI1,A00120017,1cc PVC注射空針 無螺紋,4.0,2020-01-11,2,False
17,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-11,2,False
18,DLI1,A00120017,1cc PVC注射空針 無螺紋,4.0,2020-01-12,2,False
19,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-12,2,False
20,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-13,3,True
21,DLI1,A00120017,1cc PVC注射空針 無螺紋,4.0,2020-01-13,3,True
22,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-14,3,True
23,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-14,3,True
24,DLI1,A00120017,1cc PVC注射空針 無螺紋,6.0,2020-01-15,3,True
25,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-15,3,True
26,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-16,3,True
27,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-16,3,True
28,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-17,3,True
29,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-19,3,True
30,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-20,4,True
31,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-20,4,True
32,DLI1,A00120017,1cc PVC注射空針 無螺紋,5.0,2020-01-21,4,True
33,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-21,4,True
34,DLI1,A00120017,1cc PVC注射空針 無螺紋,3.0,2020-01-22,4,True
35,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-23,4,True
36,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-24,4,False
37,DLI1,A00120017,1cc PVC注射空針 無螺紋,1.0,2020-01-24,4,False
38,DLI1,A00120017,1cc PVC注射空針 無螺紋,5.0,2020-01-27,5,False
39,DLI1,A00120017,1cc PVC注射空針 無螺紋,2.0,2020-01-29,5,False
40,DLI1,A00120017,1cc PVC注射空針 無螺紋,4.0,2020-01-30,5,False
41,DLI1,A00120017,1cc PVC注射空針 無螺紋,3.0,2020-01-31,5,False
42,DLI1,A00120025,2.5-3cc PVC 注射空針,3.0,2020-01-01,1,False
43,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-01,1,False
44,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-01,1,False
45,DLI1,A00120025,2.5-3cc PVC 注射空針,13.0,2020-01-01,1,False
46,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-01,1,False
47,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-01,1,False
48,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-01,1,False
49,DLI1,A00120025,2.5-3cc PVC 注射空針,6.0,2020-01-01,1,False
50,DLI1,A00120025,2.5-3cc PVC 注射空針,12.0,2020-01-01,1,False
51,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-01,1,False
52,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-02,1,True
53,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-02,1,True
54,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-02,1,True
55,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-02,1,True
56,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-02,1,True
57,DLI1,A00120025,2.5-3cc PVC 注射空針,3.0,2020-01-02,1,True
58,DLI1,A00120025,2.5-3cc PVC 注射空針,14.0,2020-01-02,1,True
59,DLI1,A00120025,2.5-3cc PVC 注射空針,3.0,2020-01-02,1,True
60,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-02,1,True
61,DLI1,A00120025,2.5-3cc PVC 注射空針,13.0,2020-01-02,1,True
62,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-02,1,True
63,DLI1,A00120025,2.5-3cc PVC 注射空針,1.0,2020-01-03,1,True
64,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-03,1,True
65,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-03,1,True
66,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-03,1,True
67,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-03,1,True
68,DLI1,A00120025,2.5-3cc PVC 注射空針,27.0,2020-01-03,1,True
69,DLI1,A00120025,2.5-3cc PVC 注射空針,6.0,2020-01-03,1,True
70,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-03,1,True
71,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-03,1,True
72,DLI1,A00120025,2.5-3cc PVC 注射空針,1.0,2020-01-03,1,True
73,DLI1,A00120025,2.5-3cc PVC 注射空針,14.0,2020-01-03,1,True
74,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-04,1,False
75,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-04,1,False
76,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-04,1,False
77,DLI1,A00120025,2.5-3cc PVC 注射空針,1.0,2020-01-04,1,False
78,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-04,1,False
79,DLI1,A00120025,2.5-3cc PVC 注射空針,9.0,2020-01-04,1,False
80,DLI1,A00120025,2.5-3cc PVC 注射空針,19.0,2020-01-04,1,False
81,DLI1,A00120025,2.5-3cc PVC 注射空針,12.0,2020-01-04,1,False
82,DLI1,A00120025,2.5-3cc PVC 注射空針,9.0,2020-01-04,1,False
83,DLI1,A00120025,2.5-3cc PVC 注射空針,3.0,2020-01-04,1,False
84,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-04,1,False
85,DLI1,A00120025,2.5-3cc PVC 注射空針,13.0,2020-01-04,1,False
86,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-05,1,False
87,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-05,1,False
88,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-05,1,False
89,DLI1,A00120025,2.5-3cc PVC 注射空針,1.0,2020-01-05,1,False
90,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-05,1,False
91,DLI1,A00120025,2.5-3cc PVC 注射空針,16.0,2020-01-05,1,False
92,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-05,1,False
93,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-05,1,False
94,DLI1,A00120025,2.5-3cc PVC 注射空針,6.0,2020-01-05,1,False
95,DLI1,A00120025,2.5-3cc PVC 注射空針,14.0,2020-01-05,1,False
96,DLI1,A00120025,2.5-3cc PVC 注射空針,1.0,2020-01-06,2,True
97,DLI1,A00120025,2.5-3cc PVC 注射空針,6.0,2020-01-06,2,True
98,DLI1,A00120025,2.5-3cc PVC 注射空針,3.0,2020-01-06,2,True
99,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-06,2,True
100,DLI1,A00120025,2.5-3cc PVC 注射空針,10.0,2020-01-06,2,True
101,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-06,2,True
102,DLI1,A00120025,2.5-3cc PVC 注射空針,12.0,2020-01-06,2,True
103,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-06,2,True
104,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-06,2,True
105,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-06,2,True
106,DLI1,A00120025,2.5-3cc PVC 注射空針,12.0,2020-01-06,2,True
107,DLI1,A00120025,2.5-3cc PVC 注射空針,6.0,2020-01-06,2,True
108,DLI1,A00120025,2.5-3cc PVC 注射空針,6.0,2020-01-07,2,True
109,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-07,2,True
110,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-07,2,True
111,DLI1,A00120025,2.5-3cc PVC 注射空針,15.0,2020-01-07,2,True
112,DLI1,A00120025,2.5-3cc PVC 注射空針,19.0,2020-01-07,2,True
113,DLI1,A00120025,2.5-3cc PVC 注射空針,14.0,2020-01-07,2,True
114,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-07,2,True
115,DLI1,A00120025,2.5-3cc PVC 注射空針,1.0,2020-01-07,2,True
116,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-07,2,True
117,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-07,2,True
118,DLI1,A00120025,2.5-3cc PVC 注射空針,24.0,2020-01-07,2,True
119,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-08,2,True
120,DLI1,A00120025,2.5-3cc PVC 注射空針,12.0,2020-01-08,2,True
121,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-08,2,True
122,DLI1,A00120025,2.5-3cc PVC 注射空針,5.0,2020-01-08,2,True
123,DLI1,A00120025,2.5-3cc PVC 注射空針,3.0,2020-01-08,2,True
124,DLI1,A00120025,2.5-3cc PVC 注射空針,9.0,2020-01-08,2,True
125,DLI1,A00120025,2.5-3cc PVC 注射空針,15.0,2020-01-08,2,True
126,DLI1,A00120025,2.5-3cc PVC 注射空針,15.0,2020-01-08,2,True
127,DLI1,A00120025,2.5-3cc PVC 注射空針,23.0,2020-01-08,2,True
128,DLI1,A00120025,2.5-3cc PVC 注射空針,10.0,2020-01-08,2,True
129,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-09,2,True
130,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-09,2,True
131,DLI1,A00120025,2.5-3cc PVC 注射空針,6.0,2020-01-09,2,True
132,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-09,2,True
133,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-09,2,True
134,DLI1,A00120025,2.5-3cc PVC 注射空針,12.0,2020-01-09,2,True
135,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-09,2,True
136,DLI1,A00120025,2.5-3cc PVC 注射空針,17.0,2020-01-09,2,True
137,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-09,2,True
138,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-10,2,True
139,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-10,2,True
140,DLI1,A00120025,2.5-3cc PVC 注射空針,10.0,2020-01-10,2,True
141,DLI1,A00120025,2.5-3cc PVC 注射空針,9.0,2020-01-10,2,True
142,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-10,2,True
143,DLI1,A00120025,2.5-3cc PVC 注射空針,13.0,2020-01-10,2,True
144,DLI1,A00120025,2.5-3cc PVC 注射空針,7.0,2020-01-10,2,True
145,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-10,2,True
146,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-10,2,True
147,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-10,2,True
148,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-11,2,False
149,DLI1,A00120025,2.5-3cc PVC 注射空針,20.0,2020-01-11,2,False
150,DLI1,A00120025,2.5-3cc PVC 注射空針,17.0,2020-01-11,2,False
151,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-11,2,False
152,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-11,2,False
153,DLI1,A00120025,2.5-3cc PVC 注射空針,15.0,2020-01-11,2,False
154,DLI1,A00120025,2.5-3cc PVC 注射空針,4.0,2020-01-11,2,False
155,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-11,2,False
156,DLI1,A00120025,2.5-3cc PVC 注射空針,10.0,2020-01-11,2,False
157,DLI1,A00120025,2.5-3cc PVC 注射空針,11.0,2020-01-11,2,False
158,DLI1,A00120025,2.5-3cc PVC 注射空針,9.0,2020-01-12,2,False
159,DLI1,A00120025,2.5-3cc PVC 注射空針,10.0,2020-01-12,2,False
160,DLI1,A00120025,2.5-3cc PVC 注射空針,8.0,2020-01-12,2,False
161,DLI1,A00120025,2.5-3cc PVC 注射空針,2.0,2020-01-12,2,False
