,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2021-01-28,4,True
1,DLN3,A00120067,5cc 塑膠注射空針,1.0,2021-01-01,53,False
2,DLN3,A00120067,5cc 塑膠注射空針,1.0,2021-01-02,53,False
3,DLN3,A00120067,5cc 塑膠注射空針,1.0,2021-01-22,3,True
4,DLN3,A00120067,5cc 塑膠注射空針,1.0,2021-01-25,4,True
5,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2021-01-01,53,False
6,DLN3,A00421108,1cc 胰島素注射空針-31G,1.0,2021-01-04,1,True
7,DLN3,A02320340,〞美迪克〞安全性靜脈留置針  20G,2.0,2021-01-21,3,True
8,DLN3,A02320340,〞美迪克〞安全性靜脈留置針  20G,1.0,2021-01-28,4,True
9,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2021-01-19,3,True
10,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2021-01-21,3,True
11,DLN3,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2021-01-21,3,True
12,DLN3,A04411285,全拋式採血器,4.0,2021-01-01,53,False
13,DLN3,A04411285,全拋式採血器,1.0,2021-01-01,53,False
14,DLN3,A04411285,全拋式採血器,2.0,2021-01-01,53,False
15,DLN3,A04411285,全拋式採血器,4.0,2021-01-01,53,False
16,DLN3,A04411285,全拋式採血器,4.0,2021-01-02,53,False
17,DLN3,A04411285,全拋式採血器,1.0,2021-01-02,53,False
18,DLN3,A04411285,全拋式採血器,2.0,2021-01-02,53,False
19,DLN3,A04411285,全拋式採血器,4.0,2021-01-02,53,False
20,DLN3,A04411285,全拋式採血器,4.0,2021-01-03,53,False
21,DLN3,A04411285,全拋式採血器,1.0,2021-01-03,53,False
22,DLN3,A04411285,全拋式採血器,2.0,2021-01-03,53,False
23,DLN3,A04411285,全拋式採血器,4.0,2021-01-03,53,False
24,DLN3,A04411285,全拋式採血器,4.0,2021-01-04,1,True
25,DLN3,A04411285,全拋式採血器,1.0,2021-01-04,1,True
26,DLN3,A04411285,全拋式採血器,4.0,2021-01-04,1,True
27,DLN3,A04411285,全拋式採血器,4.0,2021-01-04,1,True
28,DLN3,A04411285,全拋式採血器,2.0,2021-01-05,1,True
29,DLN3,A04411285,全拋式採血器,1.0,2021-01-05,1,True
30,DLN3,A04411285,全拋式採血器,4.0,2021-01-05,1,True
31,DLN3,A04411285,全拋式採血器,4.0,2021-01-05,1,True
32,DLN3,A04411285,全拋式採血器,1.0,2021-01-06,1,True
33,DLN3,A04411285,全拋式採血器,2.0,2021-01-06,1,True
34,DLN3,A04411285,全拋式採血器,4.0,2021-01-06,1,True
35,DLN3,A04411285,全拋式採血器,4.0,2021-01-06,1,True
36,DLN3,A04411285,全拋式採血器,4.0,2021-01-07,1,True
37,DLN3,A04411285,全拋式採血器,1.0,2021-01-07,1,True
38,DLN3,A04411285,全拋式採血器,2.0,2021-01-07,1,True
39,DLN3,A04411285,全拋式採血器,4.0,2021-01-07,1,True
40,DLN3,A04411285,全拋式採血器,5.0,2021-01-08,1,True
41,DLN3,A04411285,全拋式採血器,1.0,2021-01-08,1,True
42,DLN3,A04411285,全拋式採血器,2.0,2021-01-08,1,True
43,DLN3,A04411285,全拋式採血器,4.0,2021-01-08,1,True
