,Unnamed: 0,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
0,1407,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-02-07,202202,T-不計價,True,6
1,1408,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-03-11,202203,T-不計價,True,10
2,1409,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-03-11,202203,T-不計價,True,10
3,1410,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-03-31,202203,T-不計價,True,13
4,1411,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-04-04,202204,T-不計價,False,14
5,1412,DLN3,A00120025,2.5-3cc PVC 注射空針,2.0,2022-06-11,202206,T-不計價,False,23
6,1413,DLN3,A00120025,2.5-3cc PVC 注射空針,4.0,2022-06-12,202206,T-不計價,False,23
7,1414,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-08-02,202208,T-不計價,True,31
8,1415,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-08-15,202208,T-不計價,True,33
9,1416,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-08-21,202208,T-不計價,False,33
10,1417,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-08-22,202208,T-不計價,True,34
11,1418,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-08-24,202208,T-不計價,True,34
12,1419,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-08-25,202208,T-不計價,True,34
13,1420,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-08-27,202208,T-不計價,False,34
14,1421,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-08-29,202208,T-不計價,True,35
15,1422,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-09-10,202209,T-不計價,False,36
16,1423,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-09-12,202209,T-不計價,False,37
17,1424,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-09-13,202209,T-不計價,True,37
18,1425,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-09-15,202209,T-不計價,True,37
19,1426,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-09-16,202209,T-不計價,True,37
20,1427,DLN3,A00120025,2.5-3cc PVC 注射空針,1.0,2022-09-18,202209,T-不計價,False,37
21,1428,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-09-19,202209,T-不計價,True,38
22,1429,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-11-03,202211,T-不計價,True,44
23,1430,DLN3,A00120025,2.5-3cc PVC 注射空針,2.0,2022-11-17,202211,T-不計價,True,46
24,1431,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-12-09,202212,T-不計價,True,49
25,1432,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-12-11,202212,T-不計價,False,49
26,1433,DLN3,A00120025,2.5-3cc PVC 注射空針,2.0,2022-12-19,202212,T-不計價,True,51
27,1434,DLN3,A00120025,2.5-3cc PVC 注射空針,0.0,2022-12-20,202212,T-不計價,True,51
28,1435,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-08,202202,T-不計價,True,6
29,1436,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-02-14,202202,T-不計價,True,7
30,1437,DLN3,A00120033,2.5-3cc PVC 注射空針,3.0,2022-02-16,202202,T-不計價,True,7
31,1438,DLN3,A00120033,2.5-3cc PVC 注射空針,1.0,2022-03-05,202203,T-不計價,False,9
32,1439,DLN3,A00120033,2.5-3cc PVC 注射空針,1.0,2022-03-05,202203,T-不計價,False,9
33,1440,DLN3,A00120033,2.5-3cc PVC 注射空針,2.0,2022-03-06,202203,T-不計價,False,9
34,1441,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-03-07,202203,T-不計價,True,10
35,1442,DLN3,A00120033,2.5-3cc PVC 注射空針,1.0,2022-04-08,202204,T-不計價,True,14
36,1443,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-05-19,202205,T-不計價,True,20
37,1444,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-05-20,202205,T-不計價,True,20
38,1445,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-06-14,202206,T-不計價,True,24
39,1446,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-07-21,202207,T-不計價,True,29
40,1447,DLN3,A00120033,2.5-3cc PVC 注射空針,1.0,2022-07-28,202207,T-不計價,True,30
41,1448,DLN3,A00120033,2.5-3cc PVC 注射空針,0.0,2022-07-31,202207,T-不計價,False,30
42,1449,DLN3,A00120059,5cc塑膠注射空針,0.0,2022-08-21,202208,T-不計價,False,33
43,1450,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-01-01,202201,T-不計價,False,52
44,1451,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-01-03,202201,T-不計價,False,1
45,1452,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-01-12,202201,T-不計價,True,2
46,1453,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-01-13,202201,T-不計價,True,2
47,1454,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-02-07,202202,T-不計價,True,6
48,1455,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-02-10,202202,T-不計價,True,6
49,1456,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-02-24,202202,T-不計價,True,8
50,1457,DLN3,A00120067,5cc 塑膠注射空針,2.0,2022-03-02,202203,T-不計價,True,9
51,1458,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-03-04,202203,T-不計價,True,9
52,1459,DLN3,A00120067,5cc 塑膠注射空針,2.0,2022-03-05,202203,T-不計價,False,9
53,1460,DLN3,A00120067,5cc 塑膠注射空針,2.0,2022-03-19,202203,T-不計價,False,11
54,1461,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-03-21,202203,T-不計價,True,12
55,1462,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-03-24,202203,T-不計價,True,12
56,1463,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-03-25,202203,T-不計價,True,12
57,1464,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-03-25,202203,T-不計價,True,12
58,1465,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-04-04,202204,T-不計價,False,14
59,1466,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-04-08,202204,T-不計價,True,14
60,1467,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-05-20,202205,T-不計價,True,20
61,1468,DLN3,A00120067,5cc 塑膠注射空針,-1.0,2022-06-02,202206,T-不計價,True,22
62,1469,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-06-02,202206,T-不計價,True,22
63,1470,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-06-14,202206,T-不計價,True,24
64,1471,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-06-18,202206,T-不計價,False,24
65,1472,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-06-20,202206,T-不計價,True,25
66,1473,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-06-21,202206,T-不計價,True,25
67,1474,DLN3,A00120067,5cc 塑膠注射空針,2.0,2022-06-24,202206,T-不計價,True,25
68,1475,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-06-30,202206,T-不計價,True,26
69,1476,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-07-06,202207,T-不計價,True,27
70,1477,DLN3,A00120067,5cc 塑膠注射空針,3.0,2022-07-11,202207,T-不計價,True,28
71,1478,DLN3,A00120067,5cc 塑膠注射空針,2.0,2022-07-31,202207,T-不計價,False,30
72,1479,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-08-04,202208,T-不計價,True,31
73,1480,DLN3,A00120067,5cc 塑膠注射空針,2.0,2022-08-09,202208,T-不計價,True,32
74,1481,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-08-18,202208,T-不計價,True,33
75,1482,DLN3,A00120067,5cc 塑膠注射空針,1.0,2022-08-21,202208,T-不計價,False,33
