,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
0,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-01-29,202201,T-不計價,True,4
1,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-06-07,202206,T-不計價,True,23
2,DLN8,A00120017,1cc PVC注射空針 無螺紋,2.0,2022-06-17,202206,T-不計價,True,24
3,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-06-27,202206,T-不計價,True,26
4,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-06-30,202206,T-不計價,True,26
5,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-07-01,202207,T-不計價,True,26
6,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-07-01,202207,T-不計價,True,26
7,DLN8,A00120017,1cc PVC注射空針 無螺紋,3.0,2022-07-02,202207,T-不計價,False,26
8,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-07-09,202207,T-不計價,False,27
9,DLN8,A00120017,1cc PVC注射空針 無螺紋,2.0,2022-07-10,202207,T-不計價,False,27
10,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-07-14,202207,T-不計價,True,28
11,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-07-15,202207,T-不計價,True,28
12,DLN8,A00120017,1cc PVC注射空針 無螺紋,2.0,2022-09-08,202209,T-不計價,True,36
13,DLN8,A00120017,1cc PVC注射空針 無螺紋,2.0,2022-09-13,202209,T-不計價,True,37
14,DLN8,A00120017,1cc PVC注射空針 無螺紋,2.0,2022-09-15,202209,T-不計價,True,37
15,DLN8,A00120017,1cc PVC注射空針 無螺紋,1.0,2022-10-25,202210,T-不計價,True,43
16,DLN8,A00120017,1cc PVC注射空針 無螺紋,3.0,2022-11-12,202211,T-不計價,False,45
17,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-03-26,202203,T-不計價,False,12
18,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-03-30,202203,T-不計價,True,13
19,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-03-30,202203,T-不計價,True,13
20,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-04-01,202204,T-不計價,True,13
21,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-04-16,202204,T-不計價,False,15
22,DLN8,A00120025,2.5-3cc PVC 注射空針,0.0,2022-04-16,202204,T-不計價,False,15
23,DLN8,A00120025,2.5-3cc PVC 注射空針,0.0,2022-04-17,202204,T-不計價,False,15
24,DLN8,A00120025,2.5-3cc PVC 注射空針,0.0,2022-04-17,202204,T-不計價,False,15
25,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-04-18,202204,T-不計價,True,16
26,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-04-27,202204,T-不計價,True,17
27,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-03,202205,T-不計價,False,18
28,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-07,202205,T-不計價,True,18
29,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-19,202205,T-不計價,True,20
30,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-19,202205,T-不計價,True,20
31,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-20,202205,T-不計價,True,20
32,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-20,202205,T-不計價,True,20
33,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-22,202205,T-不計價,False,20
34,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-22,202205,T-不計價,False,20
35,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-23,202205,T-不計價,True,21
36,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-23,202205,T-不計價,True,21
37,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-24,202205,T-不計價,True,21
38,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-24,202205,T-不計價,True,21
39,DLN8,A00120025,2.5-3cc PVC 注射空針,2.0,2022-05-25,202205,T-不計價,True,21
40,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-25,202205,T-不計價,True,21
41,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-26,202205,T-不計價,True,21
42,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-26,202205,T-不計價,True,21
43,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-26,202205,T-不計價,True,21
44,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-27,202205,T-不計價,True,21
45,DLN8,A00120025,2.5-3cc PVC 注射空針,2.0,2022-05-28,202205,T-不計價,False,21
46,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-28,202205,T-不計價,False,21
47,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-29,202205,T-不計價,False,21
48,DLN8,A00120025,2.5-3cc PVC 注射空針,4.0,2022-05-29,202205,T-不計價,False,21
49,DLN8,A00120025,2.5-3cc PVC 注射空針,3.0,2022-05-29,202205,T-不計價,False,21
50,DLN8,A00120025,2.5-3cc PVC 注射空針,1.0,2022-05-30,202205,T-不計價,True,22
