"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.1","...","1002.1","2021-06-01 22:54","999.9","2021-06-01 03:52","26.7","31.7","2021-06-01 12:02","23.7","2021-06-01 03:12","...","88","64","2021-06-01 10:09","1.1","35","12.9","257","2021-06-01 13:28","28.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1001.7","...","1003.3","2021-06-02 22:28","999.6","2021-06-02 15:41","29.0","33.5","2021-06-02 12:10","24.9","2021-06-02 03:14","...","77","54","2021-06-02 11:34","1.5","244","7.9","249","2021-06-02 15:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1000.3","...","1002.5","2021-06-04 00:00","997.9","2021-06-03 16:14","29.7","33.8","2021-06-03 13:07","25.4","2021-06-03 04:30","...","75","58","2021-06-03 12:33","1.6","245","7.3","247","2021-06-03 14:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","997.6","...","999.4","2021-06-05 00:00","994.8","2021-06-04 15:20","28.7","33.9","2021-06-04 12:55","24.0","2021-06-04 18:42","...","80","54","2021-06-04 12:12","2.4","288","9.4","225","2021-06-04 08:33","82.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","997.7","...","999.2","2021-06-05 22:17","996.1","2021-06-05 15:47","25.6","29.8","2021-06-05 14:46","23.4","2021-06-05 22:46","...","93","66","2021-06-05 14:27","1.8","185","12.0","216","2021-06-05 17:08","69.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","999.1","...","1002.4","2021-06-06 21:47","996.8","2021-06-06 03:07","25.0","29.2","2021-06-06 13:57","23.4","2021-06-06 23:00","...","90","64","2021-06-06 14:04","1.9","101","13.6","203","2021-06-06 15:34","35.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1003.0","...","...","...","...","...","26.7","...","...","...","...","...","78","...","...","1.4","72","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.7","...","1004.9","2021-06-09 00:00","1001.3","2021-06-08 15:19","26.9","33.3","2021-06-08 13:35","22.2","2021-06-08 17:33","...","82","53","2021-06-08 11:48","1.5","323","13.9","181","2021-06-08 16:45","68.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1001.9","...","1004.0","2021-06-09 00:02","999.8","2021-06-09 16:47","28.3","33.0","2021-06-09 12:59","23.6","2021-06-09 05:23","...","74","52","2021-06-09 10:53","1.5","20","7.7","346","2021-06-09 13:17","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
