,日期,年,週,最高溫,最低溫,最大溫差,最大平均溫度差,異常溫差天數
0,2019-01-01,2019,1,22.6,14.2,8.4,7.27,2.0
1,2019-01-02,2019,1,20.8,16.1,4.7,7.27,2.0
2,2019-01-03,2019,1,22.6,16.9,5.7,7.27,2.0
3,2019-01-04,2019,1,26.0,17.4,8.6,7.27,2.0
4,2019-01-05,2019,1,27.6,17.5,10.1,7.27,2.0
5,2019-01-06,2019,1,23.4,17.3,6.1,7.27,2.0
6,2019-01-07,2019,2,25.3,16.6,8.7,7.5,1.0
7,2019-01-08,2019,2,24.7,18.5,6.2,7.5,1.0
8,2019-01-09,2019,2,24.7,17.6,7.1,7.5,1.0
9,2019-01-10,2019,2,24.7,18.2,6.5,7.5,1.0
10,2019-01-11,2019,2,27.1,18.7,8.4,7.5,1.0
11,2019-01-12,2019,2,25.9,17.4,8.5,7.5,1.0
12,2019-01-13,2019,2,24.0,16.9,7.1,7.5,1.0
13,2019-01-14,2019,3,24.1,16.6,7.5,6.24,1.0
14,2019-01-15,2019,3,24.0,17.2,6.8,6.24,1.0
15,2019-01-16,2019,3,18.4,15.8,2.6,6.24,1.0
16,2019-01-17,2019,3,18.6,14.2,4.4,6.24,1.0
17,2019-01-18,2019,3,23.4,13.7,9.7,6.24,1.0
18,2019-01-19,2019,3,22.2,14.9,7.3,6.24,1.0
19,2019-01-20,2019,3,22.5,17.1,5.4,6.24,1.0
20,2019-01-21,2019,4,18.8,14.2,4.6,8.4,3.0
21,2019-01-22,2019,4,16.8,11.4,5.4,8.4,3.0
22,2019-01-23,2019,4,21.2,10.4,10.8,8.4,3.0
23,2019-01-24,2019,4,23.1,11.9,11.2,8.4,3.0
24,2019-01-25,2019,4,23.6,12.4,11.2,8.4,3.0
25,2019-01-26,2019,4,20.3,12.1,8.2,8.4,3.0
26,2019-01-27,2019,4,20.9,13.5,7.4,8.4,3.0
27,2019-01-28,2019,5,23.2,11.7,11.5,10.94,6.0
28,2019-01-29,2019,5,23.6,12.6,11.0,10.94,6.0
29,2019-01-30,2019,5,25.4,14.5,10.9,10.94,6.0
30,2019-01-31,2019,5,28.9,16.6,12.3,10.94,6.0
31,2019-02-01,2019,5,19.5,14.5,5.0,10.94,6.0
32,2019-02-02,2019,5,24.9,13.8,11.1,10.94,6.0
33,2019-02-03,2019,5,30.6,15.8,14.8,10.94,6.0
34,2019-02-04,2019,6,24.7,17.9,6.8,8.33,3.0
35,2019-02-05,2019,6,24.0,17.1,6.9,8.33,3.0
36,2019-02-06,2019,6,26.0,17.1,8.9,8.33,3.0
37,2019-02-07,2019,6,29.7,16.9,12.8,8.33,3.0
38,2019-02-08,2019,6,24.0,17.6,6.4,8.33,3.0
39,2019-02-09,2019,6,23.6,16.5,7.1,8.33,3.0
40,2019-02-10,2019,6,25.0,15.6,9.4,8.33,3.0
41,2019-02-11,2019,7,23.1,15.9,7.2,8.8,3.0
42,2019-02-12,2019,7,25.5,14.9,10.6,8.8,3.0
43,2019-02-13,2019,7,26.1,18.1,8.0,8.8,3.0
44,2019-02-14,2019,7,26.6,18.3,8.3,8.8,3.0
45,2019-02-15,2019,7,27.2,17.5,9.7,8.8,3.0
46,2019-02-16,2019,7,26.9,17.3,9.6,8.8,3.0
47,2019-02-17,2019,7,24.3,16.1,8.2,8.8,3.0
48,2019-02-18,2019,8,25.6,17.0,8.6,6.69,2.0
49,2019-02-19,2019,8,26.2,17.6,8.6,6.69,2.0
50,2019-02-20,2019,8,28.4,19.9,8.5,6.69,2.0
51,2019-02-21,2019,8,25.2,18.3,6.9,6.69,2.0
52,2019-02-22,2019,8,23.5,16.9,6.6,6.69,2.0
53,2019-02-23,2019,8,20.5,15.8,4.7,6.69,2.0
54,2019-02-24,2019,8,18.3,15.4,2.9,6.69,2.0
55,2019-02-25,2019,9,24.5,15.6,8.9,8.06,3.0
56,2019-02-26,2019,9,25.7,16.1,9.6,8.06,3.0
57,2019-02-27,2019,9,25.5,17.3,8.2,8.06,3.0
58,2019-02-28,2019,9,25.2,18.7,6.5,8.06,3.0
59,2019-03-01,2019,9,25.9,17.6,8.3,8.06,3.0
60,2019-03-02,2019,9,25.2,19.0,6.2,8.06,3.0
61,2019-03-03,2019,9,26.3,17.6,8.7,8.06,3.0
62,2019-03-04,2019,10,24.8,16.0,8.8,7.56,2.0
63,2019-03-05,2019,10,25.0,16.5,8.5,7.56,2.0
64,2019-03-06,2019,10,28.0,17.4,10.6,7.56,2.0
65,2019-03-07,2019,10,17.8,12.5,5.3,7.56,2.0
66,2019-03-08,2019,10,19.5,12.0,7.5,7.56,2.0
67,2019-03-09,2019,10,21.2,16.2,5.0,7.56,2.0
68,2019-03-10,2019,10,23.9,16.7,7.2,7.56,2.0
69,2019-03-11,2019,11,19.2,16.7,2.5,6.24,1.0
70,2019-03-12,2019,11,25.4,16.3,9.1,6.24,1.0
71,2019-03-13,2019,11,25.8,18.6,7.2,6.24,1.0
72,2019-03-14,2019,11,26.0,17.6,8.4,6.24,1.0
73,2019-03-15,2019,11,20.2,16.5,3.7,6.24,1.0
74,2019-03-16,2019,11,23.9,17.0,6.9,6.24,1.0
75,2019-03-17,2019,11,25.0,19.1,5.9,6.24,1.0
76,2019-03-18,2019,12,26.2,18.3,7.9,7.16,2.0
77,2019-03-19,2019,12,28.3,18.9,9.4,7.16,2.0
78,2019-03-20,2019,12,28.6,20.1,8.5,7.16,2.0
79,2019-03-21,2019,12,30.8,21.2,9.6,7.16,2.0
80,2019-03-22,2019,12,27.2,19.1,8.1,7.16,2.0
81,2019-03-23,2019,12,19.4,16.2,3.2,7.16,2.0
82,2019-03-24,2019,12,18.2,14.8,3.4,7.16,2.0
83,2019-03-25,2019,13,21.7,16.9,4.8,8.31,4.0
84,2019-03-26,2019,13,27.0,17.1,9.9,8.31,4.0
85,2019-03-27,2019,13,28.5,20.0,8.5,8.31,4.0
86,2019-03-28,2019,13,29.2,20.1,9.1,8.31,4.0
87,2019-03-29,2019,13,27.8,18.7,9.1,8.31,4.0
