,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-01-09,2,True,2019,5.0,2.0
1,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-01-15,3,True,2019,5.0,2.0
2,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-01-16,3,True,2019,5.0,2.0
3,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-01,5,True,2019,5.0,2.0
4,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-02,5,True,2019,5.0,2.0
5,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-03,5,True,2019,5.0,2.0
6,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-02-05,6,False,2019,0.0,7.0
7,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-06,6,False,2019,0.0,7.0
8,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-02-07,6,False,2019,0.0,7.0
9,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-09,6,False,2019,0.0,7.0
10,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-12,7,True,2019,5.0,2.0
11,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,4.0,2019-02-12,7,True,2019,5.0,2.0
12,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-14,7,True,2019,5.0,2.0
13,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-02-18,8,True,2019,5.0,2.0
14,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-02-18,8,True,2019,5.0,2.0
15,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-01,9,True,2019,3.0,4.0
16,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-06,10,True,2019,5.0,2.0
17,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-03-07,10,True,2019,5.0,2.0
18,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-03-12,11,True,2019,5.0,2.0
19,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-13,11,True,2019,5.0,2.0
20,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-14,11,True,2019,5.0,2.0
21,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-15,11,True,2019,5.0,2.0
22,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-16,11,False,2019,5.0,2.0
23,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-03-18,12,True,2019,5.0,2.0
24,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-18,12,True,2019,5.0,2.0
25,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-19,12,True,2019,5.0,2.0
26,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-03-19,12,True,2019,5.0,2.0
27,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-20,12,True,2019,5.0,2.0
28,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-21,12,True,2019,5.0,2.0
29,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-03-22,12,True,2019,5.0,2.0
30,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-03-23,12,False,2019,5.0,2.0
31,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-03-24,12,False,2019,5.0,2.0
32,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-03-25,13,True,2019,5.0,2.0
33,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-03-26,13,True,2019,5.0,2.0
34,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-03-28,13,True,2019,5.0,2.0
35,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2019-03-29,13,True,2019,5.0,2.0
