,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-02,1,True,2019,3.0,3.0
1,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-02,1,True,2019,3.0,3.0
2,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-04,1,True,2019,3.0,3.0
3,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-07,2,True,2019,5.0,2.0
4,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-07,2,True,2019,5.0,2.0
5,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-08,2,True,2019,5.0,2.0
6,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-08,2,True,2019,5.0,2.0
7,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-09,2,True,2019,5.0,2.0
8,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-09,2,True,2019,5.0,2.0
9,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,2019-01-09,2,True,2019,5.0,2.0
10,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2019-01-10,2,True,2019,5.0,2.0
11,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-11,2,True,2019,5.0,2.0
12,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-11,2,True,2019,5.0,2.0
13,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-11,2,True,2019,5.0,2.0
14,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-13,2,False,2019,5.0,2.0
15,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-14,3,True,2019,5.0,2.0
16,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-14,3,True,2019,5.0,2.0
17,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-20,3,False,2019,5.0,2.0
18,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-25,4,True,2019,5.0,2.0
19,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-25,4,True,2019,5.0,2.0
20,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-28,5,True,2019,5.0,2.0
21,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-31,5,True,2019,5.0,2.0
22,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-01,5,True,2019,5.0,2.0
23,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-01,5,True,2019,5.0,2.0
24,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-04,6,False,2019,0.0,7.0
25,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-05,6,False,2019,0.0,7.0
26,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-05,6,False,2019,0.0,7.0
27,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-05,6,False,2019,0.0,7.0
28,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0
29,DLN6,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0
