,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,B04150042,免縫膠布,1.0,2019-01-01,1,False,2019,3.0,3.0
1,DLN5,B04150042,免縫膠布,1.0,2019-01-03,1,True,2019,3.0,3.0
2,DLN5,B04150042,免縫膠布,1.0,2019-01-05,1,False,2019,3.0,3.0
3,DLN5,B04150042,免縫膠布,1.0,2019-01-06,1,False,2019,3.0,3.0
4,DLN5,B04150042,免縫膠布,1.0,2019-12-31,1,True,2019,3.0,3.0
5,DLN5,B04150042,免縫膠布,1.0,2019-12-31,1,True,2019,3.0,3.0
6,DLN5,B04150042,免縫膠布,1.0,2019-01-07,2,True,2019,5.0,2.0
7,DLN5,B04150042,免縫膠布,1.0,2019-01-09,2,True,2019,5.0,2.0
8,DLN5,B04150042,免縫膠布,1.0,2019-01-11,2,True,2019,5.0,2.0
9,DLN5,B04150042,免縫膠布,1.0,2019-01-14,3,True,2019,5.0,2.0
10,DLN5,B04150042,免縫膠布,1.0,2019-01-18,3,True,2019,5.0,2.0
11,DLN5,B04150042,免縫膠布,2.0,2019-01-18,3,True,2019,5.0,2.0
12,DLN5,B04150042,免縫膠布,1.0,2019-01-21,4,True,2019,5.0,2.0
13,DLN5,B04150042,免縫膠布,2.0,2019-01-21,4,True,2019,5.0,2.0
14,DLN5,B04150042,免縫膠布,1.0,2019-01-22,4,True,2019,5.0,2.0
15,DLN5,B04150042,免縫膠布,2.0,2019-01-23,4,True,2019,5.0,2.0
16,DLN5,B04150042,免縫膠布,1.0,2019-01-24,4,True,2019,5.0,2.0
17,DLN5,B04150042,免縫膠布,1.0,2019-01-30,5,True,2019,5.0,2.0
18,DLN5,B04150042,免縫膠布,1.0,2019-02-01,5,True,2019,5.0,2.0
19,DLN5,B04150042,免縫膠布,1.0,2019-02-01,5,True,2019,5.0,2.0
20,DLN5,B04150042,免縫膠布,1.0,2019-02-01,5,True,2019,5.0,2.0
21,DLN5,B04150042,免縫膠布,2.0,2019-02-02,5,True,2019,5.0,2.0
22,DLN5,B04150042,免縫膠布,1.0,2019-02-03,5,True,2019,5.0,2.0
23,DLN5,B04150042,免縫膠布,1.0,2019-02-04,6,False,2019,0.0,7.0
24,DLN5,B04150042,免縫膠布,1.0,2019-02-05,6,False,2019,0.0,7.0
25,DLN5,B04150042,免縫膠布,1.0,2019-02-07,6,False,2019,0.0,7.0
26,DLN5,B04150042,免縫膠布,1.0,2019-02-19,8,True,2019,5.0,2.0
27,DLN5,B04150042,免縫膠布,1.0,2019-02-22,8,True,2019,5.0,2.0
28,DLN5,B04150042,免縫膠布,1.0,2019-02-27,9,True,2019,3.0,4.0
29,DLN5,B04150042,免縫膠布,1.0,2019-02-28,9,True,2019,3.0,4.0
30,DLN5,B04150042,免縫膠布,1.0,2019-03-01,9,True,2019,3.0,4.0
31,DLN5,B04150042,免縫膠布,2.0,2019-03-04,10,True,2019,5.0,2.0
32,DLN5,B04150042,免縫膠布,1.0,2019-03-05,10,True,2019,5.0,2.0
33,DLN5,B04150042,免縫膠布,2.0,2019-03-05,10,True,2019,5.0,2.0
34,DLN5,B04150042,免縫膠布,1.0,2019-03-08,10,True,2019,5.0,2.0
35,DLN5,B04150042,免縫膠布,1.0,2019-03-08,10,True,2019,5.0,2.0
36,DLN5,B04150042,免縫膠布,2.0,2019-03-08,10,True,2019,5.0,2.0
37,DLN5,B04150042,免縫膠布,1.0,2019-03-08,10,True,2019,5.0,2.0
38,DLN5,B04150042,免縫膠布,1.0,2019-03-12,11,True,2019,5.0,2.0
39,DLN5,B04150042,免縫膠布,1.0,2019-03-12,11,True,2019,5.0,2.0
40,DLN5,B04150042,免縫膠布,2.0,2019-03-13,11,True,2019,5.0,2.0
41,DLN5,B04150042,免縫膠布,1.0,2019-03-14,11,True,2019,5.0,2.0
42,DLN5,B04150042,免縫膠布,1.0,2019-03-14,11,True,2019,5.0,2.0
43,DLN5,B04150042,免縫膠布,2.0,2019-03-15,11,True,2019,5.0,2.0
44,DLN5,B04150042,免縫膠布,1.0,2019-03-15,11,True,2019,5.0,2.0
45,DLN5,B04150042,免縫膠布,1.0,2019-03-15,11,True,2019,5.0,2.0
46,DLN5,B04150042,免縫膠布,1.0,2019-03-19,12,True,2019,5.0,2.0
47,DLN5,B04150042,免縫膠布,1.0,2019-03-29,13,True,2019,5.0,2.0
48,DLN5,B04150042,免縫膠布,2.0,2019-03-30,13,False,2019,5.0,2.0
49,DLN5,B04150042,免縫膠布,1.0,2019-04-02,14,True,2019,3.0,4.0
50,DLN5,B04150042,免縫膠布,1.0,2019-04-06,14,False,2019,3.0,4.0
51,DLN5,B04150042,免縫膠布,1.0,2019-04-08,15,True,2019,5.0,2.0
52,DLN5,B04150042,免縫膠布,2.0,2019-04-10,15,True,2019,5.0,2.0
53,DLN5,B04150042,免縫膠布,1.0,2019-04-10,15,True,2019,5.0,2.0
54,DLN5,B04150042,免縫膠布,1.0,2019-04-12,15,True,2019,5.0,2.0
55,DLN5,B04150042,免縫膠布,1.0,2019-04-12,15,True,2019,5.0,2.0
56,DLN5,B04150042,免縫膠布,2.0,2019-04-23,17,True,2019,5.0,2.0
57,DLN5,B04150042,免縫膠布,1.0,2019-04-25,17,True,2019,5.0,2.0
58,DLN5,B04150042,免縫膠布,1.0,2019-04-26,17,True,2019,5.0,2.0
59,DLN5,B04150042,免縫膠布,2.0,2019-04-29,18,True,2019,4.0,3.0
60,DLN5,B04150042,免縫膠布,1.0,2019-05-01,18,False,2019,4.0,3.0
61,DLN5,B04150042,免縫膠布,2.0,2019-05-01,18,False,2019,4.0,3.0
62,DLN5,B04150042,免縫膠布,2.0,2019-05-02,18,False,2019,4.0,3.0
63,DLN5,B04150042,免縫膠布,1.0,2019-05-02,18,False,2019,4.0,3.0
64,DLN5,B04150042,免縫膠布,1.0,2019-05-11,19,False,2019,5.0,2.0
65,DLN5,B04150042,免縫膠布,1.0,2019-05-14,20,True,2019,5.0,2.0
66,DLN5,B04150042,免縫膠布,1.0,2019-05-17,20,True,2019,5.0,2.0
67,DLN5,B04150042,免縫膠布,1.0,2019-05-18,20,False,2019,5.0,2.0
68,DLN5,B04150042,免縫膠布,1.0,2019-05-18,20,False,2019,5.0,2.0
69,DLN5,B04150042,免縫膠布,1.0,2019-05-18,20,False,2019,5.0,2.0
70,DLN5,B04150042,免縫膠布,1.0,2019-06-01,22,False,2019,5.0,2.0
71,DLN5,B04150042,免縫膠布,1.0,2019-06-01,22,False,2019,5.0,2.0
72,DLN5,B04150042,免縫膠布,1.0,2019-06-07,23,False,2019,4.0,3.0
73,DLN5,B04150042,免縫膠布,1.0,2019-06-08,23,False,2019,4.0,3.0
74,DLN5,B04150042,免縫膠布,2.0,2019-06-10,24,True,2019,5.0,2.0
75,DLN5,B04150042,免縫膠布,1.0,2019-06-13,24,True,2019,5.0,2.0
76,DLN5,B04150042,免縫膠布,1.0,2019-06-14,24,True,2019,5.0,2.0
77,DLN5,B04150042,免縫膠布,1.0,2019-06-18,25,True,2019,5.0,2.0
78,DLN5,B04150042,免縫膠布,1.0,2019-06-18,25,True,2019,5.0,2.0
79,DLN5,B04150042,免縫膠布,1.0,2019-06-22,25,False,2019,5.0,2.0
80,DLN5,B04150042,免縫膠布,1.0,2019-06-22,25,False,2019,5.0,2.0
