,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,A02320160,靜脈留置針-16G,1.0,2022-01-19,True,3,2022,5.0,2.0,202201.0,C-計價
1,DLI1,A02320160,靜脈留置針-16G,2.0,2022-02-02,False,5,2022,0.0,7.0,202202.0,C-計價
2,DLI1,A02320160,靜脈留置針-16G,4.0,2022-02-12,False,6,2022,5.0,2.0,202202.0,C-計價
3,DLI1,A02320160,靜脈留置針-16G,4.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,C-計價
4,DLI1,A02320160,靜脈留置針-16G,1.0,2022-04-18,True,16,2022,5.0,2.0,202204.0,C-計價
5,DLI1,A02320160,靜脈留置針-16G,1.0,2022-05-19,True,20,2022,5.0,2.0,202205.0,C-計價
6,DLI1,A02320160,靜脈留置針-16G,2.0,2022-06-20,True,25,2022,5.0,2.0,202206.0,C-計價
7,DLI1,A02320160,靜脈留置針-16G,1.0,2022-07-18,True,29,2022,5.0,2.0,202207.0,C-計價
8,DLI1,A02320160,靜脈留置針-16G,1.0,2022-08-02,True,31,2022,5.0,2.0,202208.0,C-計價
9,DLI1,A02320160,靜脈留置針-16G,2.0,2022-08-16,True,33,2022,5.0,2.0,202208.0,C-計價
10,DLI1,A02320160,靜脈留置針-16G,1.0,2022-08-18,True,33,2022,5.0,2.0,202208.0,C-計價
11,DLI1,A02320160,靜脈留置針-16G,3.0,2022-08-27,False,34,2022,5.0,2.0,202208.0,C-計價
12,DLI1,A02320160,靜脈留置針-16G,1.0,2022-09-02,True,35,2022,5.0,2.0,202209.0,C-計價
13,DLI1,A02320160,靜脈留置針-16G,4.0,2022-09-05,True,36,2022,4.0,3.0,202209.0,C-計價
14,DLI1,A02320160,靜脈留置針-16G,1.0,2022-09-14,True,37,2022,5.0,2.0,202209.0,C-計價
15,DLI1,A02320160,靜脈留置針-16G,1.0,2022-09-15,True,37,2022,5.0,2.0,202209.0,C-計價
16,DLI1,A02320160,靜脈留置針-16G,1.0,2022-12-06,True,49,2022,5.0,2.0,202212.0,C-計價
