,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-01-05,True,1,2022,5.0,2.0,202201.0,C-計價
1,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-01-28,True,4,2022,5.0,2.0,202201.0,C-計價
2,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-02-06,False,5,2022,0.0,7.0,202202.0,C-計價
3,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-02-07,True,6,2022,5.0,2.0,202202.0,C-計價
4,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-02-07,True,6,2022,5.0,2.0,202202.0,C-計價
5,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),2.0,2022-02-09,True,6,2022,5.0,2.0,202202.0,C-計價
6,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),2.0,2022-02-12,False,6,2022,5.0,2.0,202202.0,C-計價
7,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-03-04,True,9,2022,4.0,3.0,202203.0,C-計價
8,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-03-10,True,10,2022,5.0,2.0,202203.0,C-計價
9,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-03-11,True,10,2022,5.0,2.0,202203.0,C-計價
10,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-03-14,True,11,2022,5.0,2.0,202203.0,C-計價
11,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-03-24,True,12,2022,5.0,2.0,202203.0,C-計價
12,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-04-06,True,14,2022,3.0,4.0,202204.0,C-計價
13,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-04-22,True,16,2022,5.0,2.0,202204.0,C-計價
14,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-04-28,True,17,2022,5.0,2.0,202204.0,C-計價
15,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-05-09,True,19,2022,5.0,2.0,202205.0,C-計價
16,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-05-26,True,21,2022,5.0,2.0,202205.0,C-計價
17,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-05-27,True,21,2022,5.0,2.0,202205.0,C-計價
18,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-08-19,True,33,2022,5.0,2.0,202208.0,C-計價
19,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-08-26,True,34,2022,5.0,2.0,202208.0,C-計價
20,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-09-01,True,35,2022,5.0,2.0,202209.0,C-計價
21,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-09-06,True,36,2022,4.0,3.0,202209.0,C-計價
22,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-09-08,True,36,2022,4.0,3.0,202209.0,C-計價
23,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-09-13,True,37,2022,5.0,2.0,202209.0,C-計價
24,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-09-13,True,37,2022,5.0,2.0,202209.0,C-計價
25,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-09-15,True,37,2022,5.0,2.0,202209.0,C-計價
26,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,2022-09-20,True,38,2022,5.0,2.0,202209.0,C-計價
27,DLI1,B04805109,豬尾巴導管組專用貼布(use for5~12F),2.0,2022-10-28,True,43,2022,5.0,2.0,202210.0,C-計價
