,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,B13000759,外科無菌手套,1.0,2022-07-02,False,26,2022,5.0,2.0,202207.0,T-不計價
1,DLI1,B13000759,外科無菌手套,1.0,2022-07-02,False,26,2022,5.0,2.0,202207.0,T-不計價
2,DLI1,B13000759,外科無菌手套,1.0,2022-07-08,True,27,2022,5.0,2.0,202207.0,T-不計價
3,DLI1,B13000759,外科無菌手套,2.0,2022-07-11,True,28,2022,5.0,2.0,202207.0,T-不計價
4,DLI1,B13000759,外科無菌手套,1.0,2022-07-12,True,28,2022,5.0,2.0,202207.0,T-不計價
5,DLI1,B13000759,外科無菌手套,1.0,2022-07-13,True,28,2022,5.0,2.0,202207.0,T-不計價
6,DLI1,B13000759,外科無菌手套,1.0,2022-07-20,True,29,2022,5.0,2.0,202207.0,T-不計價
7,DLI1,B13000759,外科無菌手套,1.0,2022-08-01,True,31,2022,5.0,2.0,202208.0,T-不計價
8,DLI1,B13000759,外科無菌手套,1.0,2022-08-02,True,31,2022,5.0,2.0,202208.0,T-不計價
9,DLI1,B13000759,外科無菌手套,1.0,2022-08-02,True,31,2022,5.0,2.0,202208.0,T-不計價
10,DLI1,B13000759,外科無菌手套,1.0,2022-08-08,True,32,2022,5.0,2.0,202208.0,T-不計價
11,DLI1,B13000759,外科無菌手套,1.0,2022-08-14,False,32,2022,5.0,2.0,202208.0,T-不計價
12,DLI1,B13000759,外科無菌手套,2.0,2022-08-17,True,33,2022,5.0,2.0,202208.0,T-不計價
13,DLI1,B13000759,外科無菌手套,1.0,2022-08-30,True,35,2022,5.0,2.0,202208.0,T-不計價
14,DLI1,B13000759,外科無菌手套,2.0,2022-10-10,True,41,2022,4.0,3.0,202210.0,T-不計價
15,DLI1,B13000759,外科無菌手套,2.0,2022-10-28,True,43,2022,5.0,2.0,202210.0,T-不計價
16,DLI1,B13000759,外科無菌手套,2.0,2022-11-02,True,44,2022,5.0,2.0,202211.0,T-不計價
17,DLI1,B13000759,外科無菌手套,1.0,2022-11-06,False,44,2022,5.0,2.0,202211.0,T-不計價
18,DLI1,B13000759,外科無菌手套,3.0,2022-11-14,True,46,2022,5.0,2.0,202211.0,T-不計價
19,DLI1,B13000759,外科無菌手套,1.0,2022-11-18,True,46,2022,5.0,2.0,202211.0,T-不計價
20,DLI1,B13000759,外科無菌手套,1.0,2022-11-20,False,46,2022,5.0,2.0,202211.0,T-不計價
21,DLI1,B13000759,外科無菌手套,1.0,2022-11-22,True,47,2022,5.0,2.0,202211.0,T-不計價
22,DLI1,B13000759,外科無菌手套,1.0,2022-11-24,True,47,2022,5.0,2.0,202211.0,T-不計價
23,DLI1,B13000759,外科無菌手套,2.0,2022-12-08,True,49,2022,5.0,2.0,202212.0,T-不計價
24,DLI1,B13000759,外科無菌手套,1.0,2022-12-13,True,50,2022,5.0,2.0,202212.0,T-不計價
25,DLI1,B13000759,外科無菌手套,1.0,2022-12-25,False,51,2022,5.0,2.0,202212.0,T-不計價
26,DLI1,B13000759,外科無菌手套,1.0,2022-12-31,False,52,2022,5.0,3.0,202212.0,T-不計價
