,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-03,False,1,2022,5.0,2.0,202201.0,T-不計價
1,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-04,True,1,2022,5.0,2.0,202201.0,T-不計價
2,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-05,True,1,2022,5.0,2.0,202201.0,T-不計價
3,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-06,True,1,2022,5.0,2.0,202201.0,T-不計價
4,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-10,True,2,2022,5.0,2.0,202201.0,T-不計價
5,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-10,True,2,2022,5.0,2.0,202201.0,T-不計價
6,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-11,True,2,2022,5.0,2.0,202201.0,T-不計價
7,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-12,True,2,2022,5.0,2.0,202201.0,T-不計價
8,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-14,True,2,2022,5.0,2.0,202201.0,T-不計價
9,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-17,True,3,2022,5.0,2.0,202201.0,T-不計價
10,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-17,True,3,2022,5.0,2.0,202201.0,T-不計價
11,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-19,True,3,2022,5.0,2.0,202201.0,T-不計價
12,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-20,True,3,2022,5.0,2.0,202201.0,T-不計價
13,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,1.0,2022-01-21,True,3,2022,5.0,2.0,202201.0,T-不計價
14,DLI1,C02723000,氧氣鼻管 O2雙管 2-Way,2.0,2022-01-25,True,4,2022,5.0,2.0,202201.0,T-不計價
