,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,F00230005,胸腔引流瓶,1.0,2022-01-04,True,1,2022,5.0,2.0,202201.0,T-不計價
1,DLI1,F00230005,胸腔引流瓶,2.0,2022-01-04,True,1,2022,5.0,2.0,202201.0,T-不計價
2,DLI1,F00230005,胸腔引流瓶,1.0,2022-01-07,True,1,2022,5.0,2.0,202201.0,T-不計價
3,DLI1,F00230005,胸腔引流瓶,1.0,2022-01-07,True,1,2022,5.0,2.0,202201.0,T-不計價
4,DLI1,F00230005,胸腔引流瓶,1.0,2022-01-10,True,2,2022,5.0,2.0,202201.0,T-不計價
5,DLI1,F00230005,胸腔引流瓶,1.0,2022-01-13,True,2,2022,5.0,2.0,202201.0,T-不計價
6,DLI1,F00230005,胸腔引流瓶,3.0,2022-02-04,False,5,2022,0.0,7.0,202202.0,T-不計價
7,DLI1,F00230005,胸腔引流瓶,1.0,2022-02-06,False,5,2022,0.0,7.0,202202.0,T-不計價
8,DLI1,F00230005,胸腔引流瓶,1.0,2022-02-09,True,6,2022,5.0,2.0,202202.0,T-不計價
9,DLI1,F00230005,胸腔引流瓶,2.0,2022-02-17,True,7,2022,5.0,2.0,202202.0,T-不計價
10,DLI1,F00230005,胸腔引流瓶,2.0,2022-02-18,True,7,2022,5.0,2.0,202202.0,T-不計價
11,DLI1,F00230005,胸腔引流瓶,2.0,2022-02-18,True,7,2022,5.0,2.0,202202.0,T-不計價
12,DLI1,F00230005,胸腔引流瓶,1.0,2022-02-18,True,7,2022,5.0,2.0,202202.0,T-不計價
13,DLI1,F00230005,胸腔引流瓶,1.0,2022-02-19,False,7,2022,5.0,2.0,202202.0,T-不計價
14,DLI1,F00230005,胸腔引流瓶,2.0,2022-02-20,False,7,2022,5.0,2.0,202202.0,T-不計價
15,DLI1,F00230005,胸腔引流瓶,2.0,2022-02-20,False,7,2022,5.0,2.0,202202.0,T-不計價
16,DLI1,F00230005,胸腔引流瓶,1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,T-不計價
17,DLI1,F00230005,胸腔引流瓶,1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,T-不計價
18,DLI1,F00230005,胸腔引流瓶,1.0,2022-03-13,False,10,2022,5.0,2.0,202203.0,T-不計價
19,DLI1,F00230005,胸腔引流瓶,1.0,2022-05-27,True,21,2022,5.0,2.0,202205.0,T-不計價
20,DLI1,F00230005,胸腔引流瓶,1.0,2022-05-30,True,22,2022,4.0,3.0,202205.0,T-不計價
21,DLI1,F00230005,胸腔引流瓶,1.0,2022-06-04,False,22,2022,4.0,3.0,202206.0,T-不計價
22,DLI1,F00230005,胸腔引流瓶,1.0,2022-06-06,True,23,2022,5.0,2.0,202206.0,T-不計價
23,DLI1,F00230005,胸腔引流瓶,1.0,2022-06-08,True,23,2022,5.0,2.0,202206.0,T-不計價
24,DLI1,F00230005,胸腔引流瓶,1.0,2022-06-15,True,24,2022,5.0,2.0,202206.0,T-不計價
25,DLI1,F00230005,胸腔引流瓶,1.0,2022-06-18,False,24,2022,5.0,2.0,202206.0,T-不計價
26,DLI1,F00230005,胸腔引流瓶,2.0,2022-09-06,True,36,2022,4.0,3.0,202209.0,T-不計價
27,DLI1,F00230005,胸腔引流瓶,1.0,2022-09-08,True,36,2022,4.0,3.0,202209.0,T-不計價
28,DLI1,F00230005,胸腔引流瓶,2.0,2022-09-09,True,36,2022,4.0,3.0,202209.0,T-不計價
29,DLI1,F00230005,胸腔引流瓶,2.0,2022-09-11,False,36,2022,4.0,3.0,202209.0,T-不計價
30,DLI1,F00230005,胸腔引流瓶,2.0,2022-09-12,False,37,2022,5.0,2.0,202209.0,T-不計價
31,DLI1,F00230005,胸腔引流瓶,1.0,2022-09-18,False,37,2022,5.0,2.0,202209.0,T-不計價
32,DLI1,F00230005,胸腔引流瓶,1.0,2022-09-20,True,38,2022,5.0,2.0,202209.0,T-不計價
33,DLI1,F00230005,胸腔引流瓶,1.0,2022-09-20,True,38,2022,5.0,2.0,202209.0,T-不計價
34,DLI1,F00230005,胸腔引流瓶,1.0,2022-09-22,True,38,2022,5.0,2.0,202209.0,T-不計價
35,DLI1,F00230005,胸腔引流瓶,2.0,2022-10-28,True,43,2022,5.0,2.0,202210.0,T-不計價
36,DLI1,F00230005,胸腔引流瓶,1.0,2022-01-01,False,52,2022,5.0,3.0,202201.0,T-不計價
37,DLI1,F00230005,胸腔引流瓶,2.0,2022-01-01,False,52,2022,5.0,3.0,202201.0,T-不計價
