,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-01-24,True,4,2022,5.0,2.0,202201.0,T-不計價
1,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-01-25,True,4,2022,5.0,2.0,202201.0,T-不計價
2,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-02-10,True,6,2022,5.0,2.0,202202.0,T-不計價
3,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-02-22,True,8,2022,5.0,2.0,202202.0,T-不計價
4,DLI1,I16200040,CPUI用細菌過濾器,2.0,2022-02-23,True,8,2022,5.0,2.0,202202.0,T-不計價
5,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-02-24,True,8,2022,5.0,2.0,202202.0,T-不計價
6,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-03-05,False,9,2022,4.0,3.0,202203.0,T-不計價
7,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-03-07,True,10,2022,5.0,2.0,202203.0,T-不計價
8,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-03-10,True,10,2022,5.0,2.0,202203.0,T-不計價
9,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-03-23,True,12,2022,5.0,2.0,202203.0,T-不計價
10,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-05-05,True,18,2022,5.0,2.0,202205.0,T-不計價
11,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-05-08,False,18,2022,5.0,2.0,202205.0,T-不計價
12,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-05-22,False,20,2022,5.0,2.0,202205.0,T-不計價
13,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-06-19,False,24,2022,5.0,2.0,202206.0,T-不計價
14,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-07-17,False,28,2022,5.0,2.0,202207.0,T-不計價
15,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-07-18,True,29,2022,5.0,2.0,202207.0,T-不計價
16,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-07-20,True,29,2022,5.0,2.0,202207.0,T-不計價
17,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-07-26,True,30,2022,5.0,2.0,202207.0,T-不計價
18,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-07-27,True,30,2022,5.0,2.0,202207.0,T-不計價
19,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-08-12,True,32,2022,5.0,2.0,202208.0,T-不計價
20,DLI1,I16200040,CPUI用細菌過濾器,2.0,2022-08-15,True,33,2022,5.0,2.0,202208.0,T-不計價
21,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-09-21,True,38,2022,5.0,2.0,202209.0,T-不計價
22,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-09-26,True,39,2022,5.0,2.0,202209.0,T-不計價
23,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-11-24,True,47,2022,5.0,2.0,202211.0,T-不計價
24,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-11-27,False,47,2022,5.0,2.0,202211.0,T-不計價
25,DLI1,I16200040,CPUI用細菌過濾器,1.0,2022-12-15,True,50,2022,5.0,2.0,202212.0,T-不計價
