,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-01-10,True,2,2022,5.0,2.0,202201.0,T-不計價
1,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-02-10,True,6,2022,5.0,2.0,202202.0,T-不計價
2,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-02-26,False,8,2022,5.0,2.0,202202.0,T-不計價
3,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-03-28,True,13,2022,5.0,2.0,202203.0,T-不計價
4,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-04-18,True,16,2022,5.0,2.0,202204.0,T-不計價
5,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-05-06,True,18,2022,5.0,2.0,202205.0,T-不計價
6,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-05-17,True,20,2022,5.0,2.0,202205.0,T-不計價
7,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-05-30,True,22,2022,4.0,3.0,202205.0,T-不計價
8,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-07-05,True,27,2022,5.0,2.0,202207.0,T-不計價
9,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-08-13,False,32,2022,5.0,2.0,202208.0,T-不計價
10,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-08-26,True,34,2022,5.0,2.0,202208.0,T-不計價
11,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-09-07,True,36,2022,4.0,3.0,202209.0,T-不計價
12,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-09-19,True,38,2022,5.0,2.0,202209.0,T-不計價
13,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-10-11,True,41,2022,4.0,3.0,202210.0,T-不計價
14,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-10-18,True,42,2022,5.0,2.0,202210.0,T-不計價
15,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-10-21,True,42,2022,5.0,2.0,202210.0,T-不計價
16,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-11-11,True,45,2022,5.0,2.0,202211.0,T-不計價
17,DLI1,T01101016,氧氣口罩成人含接管,1.0,2022-11-21,True,47,2022,5.0,2.0,202211.0,T-不計價
