,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,T04220215,微量噴霧器,1.0,2022-01-07,True,1,2022,5.0,2.0,202201.0,T-不計價
1,DLI1,T04220215,微量噴霧器,1.0,2022-01-12,True,2,2022,5.0,2.0,202201.0,T-不計價
2,DLI1,T04220215,微量噴霧器,1.0,2022-01-12,True,2,2022,5.0,2.0,202201.0,T-不計價
3,DLI1,T04220215,微量噴霧器,1.0,2022-01-16,False,2,2022,5.0,2.0,202201.0,T-不計價
4,DLI1,T04220215,微量噴霧器,1.0,2022-01-17,True,3,2022,5.0,2.0,202201.0,T-不計價
5,DLI1,T04220215,微量噴霧器,1.0,2022-01-18,True,3,2022,5.0,2.0,202201.0,T-不計價
6,DLI1,T04220215,微量噴霧器,1.0,2022-01-23,False,3,2022,5.0,2.0,202201.0,T-不計價
7,DLI1,T04220215,微量噴霧器,1.0,2022-01-23,False,3,2022,5.0,2.0,202201.0,T-不計價
8,DLI1,T04220215,微量噴霧器,1.0,2022-01-23,False,3,2022,5.0,2.0,202201.0,T-不計價
9,DLI1,T04220215,微量噴霧器,1.0,2022-01-27,True,4,2022,5.0,2.0,202201.0,T-不計價
10,DLI1,T04220215,微量噴霧器,1.0,2022-01-29,True,4,2022,5.0,2.0,202201.0,T-不計價
11,DLI1,T04220215,微量噴霧器,1.0,2022-02-05,False,5,2022,0.0,7.0,202202.0,T-不計價
12,DLI1,T04220215,微量噴霧器,1.0,2022-02-07,True,6,2022,5.0,2.0,202202.0,T-不計價
13,DLI1,T04220215,微量噴霧器,1.0,2022-02-08,True,6,2022,5.0,2.0,202202.0,T-不計價
14,DLI1,T04220215,微量噴霧器,1.0,2022-02-10,True,6,2022,5.0,2.0,202202.0,T-不計價
15,DLI1,T04220215,微量噴霧器,1.0,2022-02-23,True,8,2022,5.0,2.0,202202.0,T-不計價
16,DLI1,T04220215,微量噴霧器,1.0,2022-02-26,False,8,2022,5.0,2.0,202202.0,T-不計價
17,DLI1,T04220215,微量噴霧器,1.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,T-不計價
18,DLI1,T04220215,微量噴霧器,1.0,2022-03-02,True,9,2022,4.0,3.0,202203.0,T-不計價
19,DLI1,T04220215,微量噴霧器,1.0,2022-03-05,False,9,2022,4.0,3.0,202203.0,T-不計價
20,DLI1,T04220215,微量噴霧器,1.0,2022-03-11,True,10,2022,5.0,2.0,202203.0,T-不計價
21,DLI1,T04220215,微量噴霧器,1.0,2022-03-12,False,10,2022,5.0,2.0,202203.0,T-不計價
22,DLI1,T04220215,微量噴霧器,1.0,2022-03-14,True,11,2022,5.0,2.0,202203.0,T-不計價
23,DLI1,T04220215,微量噴霧器,1.0,2022-03-15,True,11,2022,5.0,2.0,202203.0,T-不計價
24,DLI1,T04220215,微量噴霧器,1.0,2022-03-15,True,11,2022,5.0,2.0,202203.0,T-不計價
25,DLI1,T04220215,微量噴霧器,1.0,2022-03-16,True,11,2022,5.0,2.0,202203.0,T-不計價
26,DLI1,T04220215,微量噴霧器,1.0,2022-03-21,True,12,2022,5.0,2.0,202203.0,T-不計價
27,DLI1,T04220215,微量噴霧器,1.0,2022-03-26,False,12,2022,5.0,2.0,202203.0,T-不計價
28,DLI1,T04220215,微量噴霧器,1.0,2022-03-27,False,12,2022,5.0,2.0,202203.0,T-不計價
29,DLI1,T04220215,微量噴霧器,1.0,2022-03-28,True,13,2022,5.0,2.0,202203.0,T-不計價
30,DLI1,T04220215,微量噴霧器,1.0,2022-03-28,True,13,2022,5.0,2.0,202203.0,T-不計價
31,DLI1,T04220215,微量噴霧器,1.0,2022-04-01,True,13,2022,5.0,2.0,202204.0,T-不計價
32,DLI1,T04220215,微量噴霧器,1.0,2022-04-02,True,13,2022,5.0,2.0,202204.0,T-不計價
33,DLI1,T04220215,微量噴霧器,1.0,2022-04-15,True,15,2022,5.0,2.0,202204.0,T-不計價
34,DLI1,T04220215,微量噴霧器,1.0,2022-04-15,True,15,2022,5.0,2.0,202204.0,T-不計價
35,DLI1,T04220215,微量噴霧器,1.0,2022-04-18,True,16,2022,5.0,2.0,202204.0,T-不計價
36,DLI1,T04220215,微量噴霧器,1.0,2022-04-27,True,17,2022,5.0,2.0,202204.0,T-不計價
37,DLI1,T04220215,微量噴霧器,1.0,2022-05-01,False,17,2022,5.0,2.0,202205.0,T-不計價
38,DLI1,T04220215,微量噴霧器,1.0,2022-05-05,True,18,2022,5.0,2.0,202205.0,T-不計價
39,DLI1,T04220215,微量噴霧器,1.0,2022-05-08,False,18,2022,5.0,2.0,202205.0,T-不計價
40,DLI1,T04220215,微量噴霧器,1.0,2022-05-08,False,18,2022,5.0,2.0,202205.0,T-不計價
41,DLI1,T04220215,微量噴霧器,1.0,2022-05-11,True,19,2022,5.0,2.0,202205.0,T-不計價
42,DLI1,T04220215,微量噴霧器,1.0,2022-05-15,False,19,2022,5.0,2.0,202205.0,T-不計價
43,DLI1,T04220215,微量噴霧器,1.0,2022-05-16,True,20,2022,5.0,2.0,202205.0,T-不計價
44,DLI1,T04220215,微量噴霧器,1.0,2022-05-17,True,20,2022,5.0,2.0,202205.0,T-不計價
45,DLI1,T04220215,微量噴霧器,1.0,2022-05-18,True,20,2022,5.0,2.0,202205.0,T-不計價
46,DLI1,T04220215,微量噴霧器,1.0,2022-05-21,False,20,2022,5.0,2.0,202205.0,T-不計價
47,DLI1,T04220215,微量噴霧器,1.0,2022-05-24,True,21,2022,5.0,2.0,202205.0,T-不計價
48,DLI1,T04220215,微量噴霧器,1.0,2022-05-27,True,21,2022,5.0,2.0,202205.0,T-不計價
49,DLI1,T04220215,微量噴霧器,1.0,2022-05-29,False,21,2022,5.0,2.0,202205.0,T-不計價
50,DLI1,T04220215,微量噴霧器,1.0,2022-06-01,True,22,2022,4.0,3.0,202206.0,T-不計價
51,DLI1,T04220215,微量噴霧器,1.0,2022-06-01,True,22,2022,4.0,3.0,202206.0,T-不計價
