,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLI1,U91700000,丟棄式導尿包,0.0,2019-11-19,47,True,2019,5.0,2.0,,
1,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-04,1,True,2022,5.0,2.0,202201.0,T-不計價
2,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-04,1,True,2022,5.0,2.0,202201.0,T-不計價
3,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-05,1,True,2022,5.0,2.0,202201.0,T-不計價
4,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-06,1,True,2022,5.0,2.0,202201.0,T-不計價
5,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-08,1,False,2022,5.0,2.0,202201.0,T-不計價
6,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-09,1,False,2022,5.0,2.0,202201.0,T-不計價
7,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-10,2,True,2022,5.0,2.0,202201.0,T-不計價
8,DLI1,U91700000,丟棄式導尿包,2.0,2022-01-10,2,True,2022,5.0,2.0,202201.0,T-不計價
9,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-11,2,True,2022,5.0,2.0,202201.0,T-不計價
10,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-12,2,True,2022,5.0,2.0,202201.0,T-不計價
11,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-12,2,True,2022,5.0,2.0,202201.0,T-不計價
12,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-15,2,False,2022,5.0,2.0,202201.0,T-不計價
13,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-15,2,False,2022,5.0,2.0,202201.0,T-不計價
14,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-16,2,False,2022,5.0,2.0,202201.0,T-不計價
15,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-17,3,True,2022,5.0,2.0,202201.0,T-不計價
16,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-18,3,True,2022,5.0,2.0,202201.0,T-不計價
17,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-19,3,True,2022,5.0,2.0,202201.0,T-不計價
18,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-19,3,True,2022,5.0,2.0,202201.0,T-不計價
19,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-21,3,True,2022,5.0,2.0,202201.0,T-不計價
20,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-22,3,False,2022,5.0,2.0,202201.0,T-不計價
21,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-23,3,False,2022,5.0,2.0,202201.0,T-不計價
22,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-24,4,True,2022,5.0,2.0,202201.0,T-不計價
23,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-25,4,True,2022,5.0,2.0,202201.0,T-不計價
24,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-25,4,True,2022,5.0,2.0,202201.0,T-不計價
25,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-26,4,True,2022,5.0,2.0,202201.0,T-不計價
26,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-27,4,True,2022,5.0,2.0,202201.0,T-不計價
27,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-27,4,True,2022,5.0,2.0,202201.0,T-不計價
28,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-29,4,True,2022,5.0,2.0,202201.0,T-不計價
29,DLI1,U91700000,丟棄式導尿包,1.0,2022-01-29,4,True,2022,5.0,2.0,202201.0,T-不計價
30,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-01,5,False,2022,0.0,7.0,202202.0,T-不計價
31,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-01,5,False,2022,0.0,7.0,202202.0,T-不計價
32,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-02,5,False,2022,0.0,7.0,202202.0,T-不計價
33,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-04,5,False,2022,0.0,7.0,202202.0,T-不計價
34,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-05,5,False,2022,0.0,7.0,202202.0,T-不計價
35,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-06,5,False,2022,0.0,7.0,202202.0,T-不計價
36,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-07,6,True,2022,5.0,2.0,202202.0,T-不計價
37,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-08,6,True,2022,5.0,2.0,202202.0,T-不計價
38,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-08,6,True,2022,5.0,2.0,202202.0,T-不計價
39,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-09,6,True,2022,5.0,2.0,202202.0,T-不計價
40,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-09,6,True,2022,5.0,2.0,202202.0,T-不計價
41,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-11,6,True,2022,5.0,2.0,202202.0,T-不計價
42,DLI1,U91700000,丟棄式導尿包,2.0,2022-02-12,6,False,2022,5.0,2.0,202202.0,T-不計價
43,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-13,6,False,2022,5.0,2.0,202202.0,T-不計價
44,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-15,7,True,2022,5.0,2.0,202202.0,T-不計價
45,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-15,7,True,2022,5.0,2.0,202202.0,T-不計價
46,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-16,7,True,2022,5.0,2.0,202202.0,T-不計價
47,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-17,7,True,2022,5.0,2.0,202202.0,T-不計價
48,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-18,7,True,2022,5.0,2.0,202202.0,T-不計價
49,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-21,8,True,2022,5.0,2.0,202202.0,T-不計價
50,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-22,8,True,2022,5.0,2.0,202202.0,T-不計價
51,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-22,8,True,2022,5.0,2.0,202202.0,T-不計價
52,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-23,8,True,2022,5.0,2.0,202202.0,T-不計價
53,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-24,8,True,2022,5.0,2.0,202202.0,T-不計價
54,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-24,8,True,2022,5.0,2.0,202202.0,T-不計價
55,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-24,8,True,2022,5.0,2.0,202202.0,T-不計價
56,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-25,8,True,2022,5.0,2.0,202202.0,T-不計價
57,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-27,8,False,2022,5.0,2.0,202202.0,T-不計價
58,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-27,8,False,2022,5.0,2.0,202202.0,T-不計價
59,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-28,9,True,2022,4.0,3.0,202202.0,T-不計價
60,DLI1,U91700000,丟棄式導尿包,1.0,2022-02-28,9,True,2022,4.0,3.0,202202.0,T-不計價
61,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-01,9,True,2022,4.0,3.0,202203.0,T-不計價
62,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-01,9,True,2022,4.0,3.0,202203.0,T-不計價
63,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-02,9,True,2022,4.0,3.0,202203.0,T-不計價
64,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-02,9,True,2022,4.0,3.0,202203.0,T-不計價
65,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-04,9,True,2022,4.0,3.0,202203.0,T-不計價
66,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-06,9,False,2022,4.0,3.0,202203.0,T-不計價
67,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-07,10,True,2022,5.0,2.0,202203.0,T-不計價
68,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-07,10,True,2022,5.0,2.0,202203.0,T-不計價
69,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-09,10,True,2022,5.0,2.0,202203.0,T-不計價
70,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-09,10,True,2022,5.0,2.0,202203.0,T-不計價
71,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-11,10,True,2022,5.0,2.0,202203.0,T-不計價
72,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-11,10,True,2022,5.0,2.0,202203.0,T-不計價
73,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-12,10,False,2022,5.0,2.0,202203.0,T-不計價
74,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-12,10,False,2022,5.0,2.0,202203.0,T-不計價
75,DLI1,U91700000,丟棄式導尿包,1.0,2022-03-13,10,False,2022,5.0,2.0,202203.0,T-不計價
76,DLI1,U91700000,丟棄式導尿包,3.0,2022-03-15,11,True,2022,5.0,2.0,202203.0,T-不計價
