,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-03,False,1,2022,5.0,2.0,202201.0,T-不計價
1,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2022-01-03,False,1,2022,5.0,2.0,202201.0,T-不計價
2,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-03,False,1,2022,5.0,2.0,202201.0,T-不計價
3,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-09,False,1,2022,5.0,2.0,202201.0,T-不計價
4,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-09,False,1,2022,5.0,2.0,202201.0,T-不計價
5,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-11,True,2,2022,5.0,2.0,202201.0,T-不計價
6,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-17,True,3,2022,5.0,2.0,202201.0,T-不計價
7,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-17,True,3,2022,5.0,2.0,202201.0,T-不計價
8,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-18,True,3,2022,5.0,2.0,202201.0,T-不計價
9,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-18,True,3,2022,5.0,2.0,202201.0,T-不計價
10,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-19,True,3,2022,5.0,2.0,202201.0,T-不計價
11,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-25,True,4,2022,5.0,2.0,202201.0,T-不計價
12,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-30,True,4,2022,5.0,2.0,202201.0,T-不計價
13,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-01-31,False,5,2022,0.0,7.0,202201.0,T-不計價
14,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-01,False,5,2022,0.0,7.0,202202.0,T-不計價
15,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-02,False,5,2022,0.0,7.0,202202.0,T-不計價
16,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2022-02-07,True,6,2022,5.0,2.0,202202.0,T-不計價
17,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-08,True,6,2022,5.0,2.0,202202.0,T-不計價
18,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-09,True,6,2022,5.0,2.0,202202.0,T-不計價
19,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-10,True,6,2022,5.0,2.0,202202.0,T-不計價
20,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-11,True,6,2022,5.0,2.0,202202.0,T-不計價
21,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-11,True,6,2022,5.0,2.0,202202.0,T-不計價
22,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-15,True,7,2022,5.0,2.0,202202.0,T-不計價
23,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-17,True,7,2022,5.0,2.0,202202.0,T-不計價
24,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-17,True,7,2022,5.0,2.0,202202.0,T-不計價
25,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-17,True,7,2022,5.0,2.0,202202.0,T-不計價
26,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,T-不計價
27,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,T-不計價
28,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-22,True,8,2022,5.0,2.0,202202.0,T-不計價
29,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-23,True,8,2022,5.0,2.0,202202.0,T-不計價
30,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-24,True,8,2022,5.0,2.0,202202.0,T-不計價
31,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-27,False,8,2022,5.0,2.0,202202.0,T-不計價
32,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-02-28,True,9,2022,4.0,3.0,202202.0,T-不計價
33,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,T-不計價
34,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-02,True,9,2022,4.0,3.0,202203.0,T-不計價
35,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-08,True,10,2022,5.0,2.0,202203.0,T-不計價
36,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-09,True,10,2022,5.0,2.0,202203.0,T-不計價
37,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2022-03-10,True,10,2022,5.0,2.0,202203.0,T-不計價
38,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-11,True,10,2022,5.0,2.0,202203.0,T-不計價
39,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-11,True,10,2022,5.0,2.0,202203.0,T-不計價
40,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-14,True,11,2022,5.0,2.0,202203.0,T-不計價
41,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-14,True,11,2022,5.0,2.0,202203.0,T-不計價
42,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-15,True,11,2022,5.0,2.0,202203.0,T-不計價
43,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-16,True,11,2022,5.0,2.0,202203.0,T-不計價
44,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-18,True,11,2022,5.0,2.0,202203.0,T-不計價
45,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-22,True,12,2022,5.0,2.0,202203.0,T-不計價
46,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-25,True,12,2022,5.0,2.0,202203.0,T-不計價
47,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-27,False,12,2022,5.0,2.0,202203.0,T-不計價
48,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-03-27,False,12,2022,5.0,2.0,202203.0,T-不計價
49,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),6.0,2022-03-28,True,13,2022,5.0,2.0,202203.0,T-不計價
50,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2022-03-28,True,13,2022,5.0,2.0,202203.0,T-不計價
51,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2022-03-30,True,13,2022,5.0,2.0,202203.0,T-不計價
52,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-06,True,14,2022,3.0,4.0,202204.0,T-不計價
53,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-07,True,14,2022,3.0,4.0,202204.0,T-不計價
54,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-08,True,14,2022,3.0,4.0,202204.0,T-不計價
55,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-08,True,14,2022,3.0,4.0,202204.0,T-不計價
56,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-09,False,14,2022,3.0,4.0,202204.0,T-不計價
57,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,2022-04-11,True,15,2022,5.0,2.0,202204.0,T-不計價
58,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-11,True,15,2022,5.0,2.0,202204.0,T-不計價
59,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-12,True,15,2022,5.0,2.0,202204.0,T-不計價
60,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-14,True,15,2022,5.0,2.0,202204.0,T-不計價
61,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-15,True,15,2022,5.0,2.0,202204.0,T-不計價
62,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-15,True,15,2022,5.0,2.0,202204.0,T-不計價
63,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-18,True,16,2022,5.0,2.0,202204.0,T-不計價
64,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-20,True,16,2022,5.0,2.0,202204.0,T-不計價
65,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-21,True,16,2022,5.0,2.0,202204.0,T-不計價
66,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-25,True,17,2022,5.0,2.0,202204.0,T-不計價
67,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-26,True,17,2022,5.0,2.0,202204.0,T-不計價
68,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-27,True,17,2022,5.0,2.0,202204.0,T-不計價
69,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-28,True,17,2022,5.0,2.0,202204.0,T-不計價
70,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-29,True,17,2022,5.0,2.0,202204.0,T-不計價
71,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-04-29,True,17,2022,5.0,2.0,202204.0,T-不計價
72,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-05-02,False,18,2022,5.0,2.0,202205.0,T-不計價
73,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-05-04,False,18,2022,5.0,2.0,202205.0,T-不計價
74,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-05-05,True,18,2022,5.0,2.0,202205.0,T-不計價
75,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-05-09,True,19,2022,5.0,2.0,202205.0,T-不計價
76,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-05-11,True,19,2022,5.0,2.0,202205.0,T-不計價
77,DLI1,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2022-05-11,True,19,2022,5.0,2.0,202205.0,T-不計價
