,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-05,True,1,2022,5.0,2.0,202201.0,C-計價
1,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-10,True,2,2022,5.0,2.0,202201.0,C-計價
2,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-12,True,2,2022,5.0,2.0,202201.0,C-計價
3,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-12,True,2,2022,5.0,2.0,202201.0,C-計價
4,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-19,True,3,2022,5.0,2.0,202201.0,C-計價
5,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-19,True,3,2022,5.0,2.0,202201.0,C-計價
6,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-01-21,True,3,2022,5.0,2.0,202201.0,C-計價
7,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-01-31,False,5,2022,0.0,7.0,202201.0,C-計價
8,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-02-08,True,6,2022,5.0,2.0,202202.0,C-計價
9,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-02-11,True,6,2022,5.0,2.0,202202.0,C-計價
10,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,C-計價
11,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,C-計價
12,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-02-22,True,8,2022,5.0,2.0,202202.0,C-計價
13,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-02-28,True,9,2022,4.0,3.0,202202.0,C-計價
14,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-02-28,True,9,2022,4.0,3.0,202202.0,C-計價
15,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,C-計價
16,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,C-計價
17,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-05,False,9,2022,4.0,3.0,202203.0,C-計價
18,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-06,False,9,2022,4.0,3.0,202203.0,C-計價
19,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-06,False,9,2022,4.0,3.0,202203.0,C-計價
20,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-03-07,True,10,2022,5.0,2.0,202203.0,C-計價
21,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-08,True,10,2022,5.0,2.0,202203.0,C-計價
22,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),3.0,2022-03-14,True,11,2022,5.0,2.0,202203.0,C-計價
23,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-03-17,True,11,2022,5.0,2.0,202203.0,C-計價
24,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-17,True,11,2022,5.0,2.0,202203.0,C-計價
25,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-21,True,12,2022,5.0,2.0,202203.0,C-計價
26,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-03-24,True,12,2022,5.0,2.0,202203.0,C-計價
27,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-25,True,12,2022,5.0,2.0,202203.0,C-計價
28,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-03-26,False,12,2022,5.0,2.0,202203.0,C-計價
29,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-04-04,False,14,2022,3.0,4.0,202204.0,C-計價
30,DLI1,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-04-10,False,14,2022,3.0,4.0,202204.0,C-計價
