,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-01-07,2,True,2019,5.0,2.0,,
1,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-01-12,2,False,2019,5.0,2.0,,
2,DLN3,A00120110,10cc塑膠注射空針 無螺紋,8.0,2019-01-13,2,False,2019,5.0,2.0,,
3,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-01-14,3,True,2019,5.0,2.0,,
4,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-02-01,5,True,2019,5.0,2.0,,
5,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-02-11,7,True,2019,5.0,2.0,,
6,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-02-13,7,True,2019,5.0,2.0,,
7,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-06,10,True,2019,5.0,2.0,,
8,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-08,10,True,2019,5.0,2.0,,
9,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-11,11,True,2019,5.0,2.0,,
10,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-13,11,True,2019,5.0,2.0,,
11,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-14,11,True,2019,5.0,2.0,,
12,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-15,11,True,2019,5.0,2.0,,
13,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-18,12,True,2019,5.0,2.0,,
14,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-20,12,True,2019,5.0,2.0,,
15,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-22,12,True,2019,5.0,2.0,,
16,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-25,13,True,2019,5.0,2.0,,
17,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-03-28,13,True,2019,5.0,2.0,,
18,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-01,14,True,2019,3.0,4.0,,
19,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-04,14,True,2019,3.0,4.0,,
20,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-22,17,True,2019,5.0,2.0,,
21,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-22,17,True,2019,5.0,2.0,,
22,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-23,17,True,2019,5.0,2.0,,
23,DLN3,A00120110,10cc塑膠注射空針 無螺紋,4.0,2019-04-23,17,True,2019,5.0,2.0,,
24,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-24,17,True,2019,5.0,2.0,,
25,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-24,17,True,2019,5.0,2.0,,
26,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-25,17,True,2019,5.0,2.0,,
27,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-25,17,True,2019,5.0,2.0,,
28,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-25,17,True,2019,5.0,2.0,,
29,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-04-26,17,True,2019,5.0,2.0,,
30,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-26,17,True,2019,5.0,2.0,,
31,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-27,17,False,2019,5.0,2.0,,
32,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-04-27,17,False,2019,5.0,2.0,,
33,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-04-28,17,True,2019,5.0,2.0,,
34,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-28,17,True,2019,5.0,2.0,,
35,DLN3,A00120110,10cc塑膠注射空針 無螺紋,6.0,2019-04-28,17,True,2019,5.0,2.0,,
36,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-29,18,True,2019,4.0,3.0,,
37,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-04-29,18,True,2019,4.0,3.0,,
38,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-04-29,18,True,2019,4.0,3.0,,
39,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-04-30,18,True,2019,4.0,3.0,,
40,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-05-01,18,False,2019,4.0,3.0,,
41,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-05-14,20,True,2019,5.0,2.0,,
42,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-07-16,29,True,2019,5.0,2.0,,
43,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-08-21,34,True,2019,5.0,2.0,,
44,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2019-08-23,34,True,2019,5.0,2.0,,
45,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-08-24,34,False,2019,5.0,2.0,,
46,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-08-25,34,False,2019,5.0,2.0,,
47,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-09-11,37,True,2019,4.0,3.0,,
48,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-10-03,40,False,2019,5.0,2.0,,
49,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-10-03,40,False,2019,5.0,2.0,,
50,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2019-10-18,42,True,2019,5.0,2.0,,
51,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-10-20,42,False,2019,5.0,2.0,,
52,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2019-10-29,44,True,2019,5.0,2.0,,
53,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-10-30,44,True,2019,5.0,2.0,,
54,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-12-03,49,True,2019,5.0,2.0,,
55,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2019-12-04,49,True,2019,5.0,2.0,,
56,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2019-12-05,49,True,2019,5.0,2.0,,
57,DLN3,A00120110,10cc塑膠注射空針 無螺紋,4.0,2019-12-06,49,True,2019,5.0,2.0,,
58,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2019-12-07,49,False,2019,5.0,2.0,,
59,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2019-12-10,50,True,2019,5.0,2.0,,
60,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-12-11,50,True,2019,5.0,2.0,,
61,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2019-12-12,50,True,2019,5.0,2.0,,
62,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2019-12-17,51,True,2019,5.0,2.0,,
63,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2020-01-16,3,True,2020,5.0,2.0,,
64,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2020-01-16,3,True,2020,5.0,2.0,,
65,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2020-01-17,3,True,2020,5.0,2.0,,
66,DLN3,A00120110,10cc塑膠注射空針 無螺紋,4.0,2020-01-17,3,True,2020,5.0,2.0,,
67,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2020-01-17,3,True,2020,5.0,2.0,,
68,DLN3,A00120110,10cc塑膠注射空針 無螺紋,4.0,2020-01-18,3,False,2020,5.0,2.0,,
69,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2020-01-19,3,True,2020,5.0,2.0,,
70,DLN3,A00120110,10cc塑膠注射空針 無螺紋,1.0,2020-01-19,3,True,2020,5.0,2.0,,
71,DLN3,A00120110,10cc塑膠注射空針 無螺紋,3.0,2020-01-20,4,True,2020,3.0,4.0,,
72,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2020-01-20,4,True,2020,3.0,4.0,,
73,DLN3,A00120110,10cc塑膠注射空針 無螺紋,2.0,2020-01-21,4,True,2020,3.0,4.0,,
