,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN3,C13930399,T型連接管,1.0,2019-01-07,2,True,2019,5.0,2.0,,
1,DLN3,C13930399,T型連接管,2.0,2019-01-13,2,False,2019,5.0,2.0,,
2,DLN3,C13930399,T型連接管,1.0,2019-02-01,5,True,2019,5.0,2.0,,
3,DLN3,C13930399,T型連接管,1.0,2019-02-07,6,False,2019,0.0,7.0,,
4,DLN3,C13930399,T型連接管,2.0,2019-02-07,6,False,2019,0.0,7.0,,
5,DLN3,C13930399,T型連接管,1.0,2019-02-10,6,False,2019,0.0,7.0,,
6,DLN3,C13930399,T型連接管,1.0,2019-02-12,7,True,2019,5.0,2.0,,
7,DLN3,C13930399,T型連接管,1.0,2019-02-13,7,True,2019,5.0,2.0,,
8,DLN3,C13930399,T型連接管,1.0,2019-02-15,7,True,2019,5.0,2.0,,
9,DLN3,C13930399,T型連接管,1.0,2019-03-06,10,True,2019,5.0,2.0,,
10,DLN3,C13930399,T型連接管,1.0,2019-03-08,10,True,2019,5.0,2.0,,
11,DLN3,C13930399,T型連接管,1.0,2019-03-11,11,True,2019,5.0,2.0,,
12,DLN3,C13930399,T型連接管,1.0,2019-03-11,11,True,2019,5.0,2.0,,
13,DLN3,C13930399,T型連接管,1.0,2019-03-13,11,True,2019,5.0,2.0,,
14,DLN3,C13930399,T型連接管,1.0,2019-03-14,11,True,2019,5.0,2.0,,
15,DLN3,C13930399,T型連接管,1.0,2019-03-15,11,True,2019,5.0,2.0,,
16,DLN3,C13930399,T型連接管,1.0,2019-03-18,12,True,2019,5.0,2.0,,
17,DLN3,C13930399,T型連接管,1.0,2019-03-20,12,True,2019,5.0,2.0,,
18,DLN3,C13930399,T型連接管,1.0,2019-03-22,12,True,2019,5.0,2.0,,
19,DLN3,C13930399,T型連接管,1.0,2019-03-25,13,True,2019,5.0,2.0,,
20,DLN3,C13930399,T型連接管,1.0,2019-03-28,13,True,2019,5.0,2.0,,
21,DLN3,C13930399,T型連接管,1.0,2019-03-30,13,False,2019,5.0,2.0,,
22,DLN3,C13930399,T型連接管,1.0,2019-04-01,14,True,2019,3.0,4.0,,
23,DLN3,C13930399,T型連接管,1.0,2019-04-22,17,True,2019,5.0,2.0,,
24,DLN3,C13930399,T型連接管,1.0,2019-04-26,17,True,2019,5.0,2.0,,
25,DLN3,C13930399,T型連接管,2.0,2019-04-28,17,True,2019,5.0,2.0,,
26,DLN3,C13930399,T型連接管,2.0,2019-04-28,17,True,2019,5.0,2.0,,
27,DLN3,C13930399,T型連接管,2.0,2019-04-29,18,True,2019,4.0,3.0,,
28,DLN3,C13930399,T型連接管,1.0,2019-04-30,18,True,2019,4.0,3.0,,
29,DLN3,C13930399,T型連接管,1.0,2019-05-14,20,True,2019,5.0,2.0,,
30,DLN3,C13930399,T型連接管,1.0,2019-05-15,20,True,2019,5.0,2.0,,
31,DLN3,C13930399,T型連接管,1.0,2019-05-27,22,True,2019,5.0,2.0,,
32,DLN3,C13930399,T型連接管,1.0,2019-06-30,26,False,2019,5.0,2.0,,
33,DLN3,C13930399,T型連接管,1.0,2019-07-13,28,False,2019,5.0,2.0,,
34,DLN3,C13930399,T型連接管,1.0,2019-08-20,34,True,2019,5.0,2.0,,
35,DLN3,C13930399,T型連接管,1.0,2019-08-20,34,True,2019,5.0,2.0,,
36,DLN3,C13930399,T型連接管,1.0,2019-08-21,34,True,2019,5.0,2.0,,
37,DLN3,C13930399,T型連接管,2.0,2019-08-21,34,True,2019,5.0,2.0,,
38,DLN3,C13930399,T型連接管,1.0,2019-08-24,34,False,2019,5.0,2.0,,
39,DLN3,C13930399,T型連接管,1.0,2019-08-29,35,True,2019,5.0,2.0,,
40,DLN3,C13930399,T型連接管,1.0,2019-09-12,37,True,2019,4.0,3.0,,
41,DLN3,C13930399,T型連接管,1.0,2019-09-29,39,True,2019,5.0,2.0,,
42,DLN3,C13930399,T型連接管,1.0,2019-10-03,40,False,2019,5.0,2.0,,
43,DLN3,C13930399,T型連接管,1.0,2019-10-06,40,False,2019,5.0,2.0,,
44,DLN3,C13930399,T型連接管,1.0,2019-10-07,41,False,2019,3.0,4.0,,
45,DLN3,C13930399,T型連接管,1.0,2019-10-08,41,True,2019,3.0,4.0,,
46,DLN3,C13930399,T型連接管,1.0,2019-10-12,41,True,2019,3.0,4.0,,
47,DLN3,C13930399,T型連接管,1.0,2019-10-15,42,True,2019,5.0,2.0,,
48,DLN3,C13930399,T型連接管,1.0,2019-10-17,42,True,2019,5.0,2.0,,
49,DLN3,C13930399,T型連接管,1.0,2019-10-18,42,True,2019,5.0,2.0,,
50,DLN3,C13930399,T型連接管,1.0,2019-10-20,42,False,2019,5.0,2.0,,
51,DLN3,C13930399,T型連接管,1.0,2019-10-24,43,True,2019,5.0,2.0,,
52,DLN3,C13930399,T型連接管,1.0,2019-10-25,43,True,2019,5.0,2.0,,
53,DLN3,C13930399,T型連接管,1.0,2019-11-27,48,True,2019,5.0,2.0,,
54,DLN3,C13930399,T型連接管,1.0,2019-12-03,49,True,2019,5.0,2.0,,
55,DLN3,C13930399,T型連接管,3.0,2019-12-07,49,False,2019,5.0,2.0,,
56,DLN3,C13930399,T型連接管,1.0,2019-12-08,49,False,2019,5.0,2.0,,
