,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-01,1,False,2019,3.0,3.0,,
1,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-01,1,False,2019,3.0,3.0,,
2,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-01,1,False,2019,3.0,3.0,,
3,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-01,1,False,2019,3.0,3.0,,
4,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-01,1,False,2019,3.0,3.0,,
5,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-01,1,False,2019,3.0,3.0,,
6,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-01,1,False,2019,3.0,3.0,,
7,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
8,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
9,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
10,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
11,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
12,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
13,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
14,DLN3,K80004044,Push Button Blood Collection,1.0,2019-12-31,1,True,2019,3.0,3.0,,
15,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-08,2,True,2019,5.0,2.0,,
16,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-08,2,True,2019,5.0,2.0,,
17,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-08,2,True,2019,5.0,2.0,,
18,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-08,2,True,2019,5.0,2.0,,
19,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-09,2,True,2019,5.0,2.0,,
20,DLN3,K80004044,Push Button Blood Collection,2.0,2019-01-09,2,True,2019,5.0,2.0,,
21,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-15,3,True,2019,5.0,2.0,,
22,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-15,3,True,2019,5.0,2.0,,
23,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-15,3,True,2019,5.0,2.0,,
24,DLN3,K80004044,Push Button Blood Collection,1.0,2019-01-15,3,True,2019,5.0,2.0,,
