,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0
1,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-01-03,1,True,2019,3.0,3.0
2,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-01-03,1,True,2019,3.0,3.0
3,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-01-04,1,True,2019,3.0,3.0
4,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-01-07,2,True,2019,5.0,2.0
5,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-01-07,2,True,2019,5.0,2.0
6,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-01-10,2,True,2019,5.0,2.0
7,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-03-12,11,True,2019,5.0,2.0
8,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-03-18,12,True,2019,5.0,2.0
9,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-03-19,12,True,2019,5.0,2.0
10,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-04-08,15,True,2019,5.0,2.0
11,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-04-08,15,True,2019,5.0,2.0
12,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-04-09,15,True,2019,5.0,2.0
13,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-05-06,19,True,2019,5.0,2.0
14,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-05-07,19,True,2019,5.0,2.0
15,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-05-08,19,True,2019,5.0,2.0
16,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-05-13,20,True,2019,5.0,2.0
17,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-05-13,20,True,2019,5.0,2.0
18,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-05-27,22,True,2019,5.0,2.0
19,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-06-26,26,True,2019,5.0,2.0
20,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-07-03,27,True,2019,5.0,2.0
21,DLN5,A00120059,5cc塑膠注射空針,2.0,2019-07-25,30,True,2019,5.0,2.0
22,DLN5,A00120059,5cc塑膠注射空針,2.0,2019-07-27,30,False,2019,5.0,2.0
23,DLN5,A00120059,5cc塑膠注射空針,1.0,2019-07-30,31,True,2019,5.0,2.0
