,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
0,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-10,True,50,2020,5.0,2.0
1,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-11,True,50,2020,5.0,2.0
2,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-12,False,50,2020,5.0,2.0
3,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-13,False,50,2020,5.0,2.0
4,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-14,True,51,2020,5.0,2.0
5,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-14,True,51,2020,5.0,2.0
6,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-14,True,51,2020,5.0,2.0
7,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-15,True,51,2020,5.0,2.0
8,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-16,True,51,2020,5.0,2.0
9,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-17,True,51,2020,5.0,2.0
10,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-17,True,51,2020,5.0,2.0
11,DLN5,A46441986,幫浦輸液套(一般型),2.0,2020-12-17,True,51,2020,5.0,2.0
12,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-18,True,51,2020,5.0,2.0
13,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-21,True,52,2020,5.0,2.0
14,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-21,True,52,2020,5.0,2.0
15,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-21,True,52,2020,5.0,2.0
16,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-22,True,52,2020,5.0,2.0
17,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-23,True,52,2020,5.0,2.0
18,DLN5,A46441986,幫浦輸液套(一般型),1.0,2020-12-25,True,52,2020,5.0,2.0
19,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-04,True,1,2021,5.0,2.0
20,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-07,True,1,2021,5.0,2.0
21,DLN5,A46441986,幫浦輸液套(一般型),2.0,2021-01-07,True,1,2021,5.0,2.0
22,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-08,True,1,2021,5.0,2.0
23,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-11,True,2,2021,5.0,2.0
24,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-11,True,2,2021,5.0,2.0
25,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-11,True,2,2021,5.0,2.0
26,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-11,True,2,2021,5.0,2.0
27,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-11,True,2,2021,5.0,2.0
28,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-11,True,2,2021,5.0,2.0
29,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-12,True,2,2021,5.0,2.0
30,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-12,True,2,2021,5.0,2.0
31,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-12,True,2,2021,5.0,2.0
32,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-12,True,2,2021,5.0,2.0
33,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-13,True,2,2021,5.0,2.0
34,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-13,True,2,2021,5.0,2.0
35,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-13,True,2,2021,5.0,2.0
36,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-13,True,2,2021,5.0,2.0
37,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-14,True,2,2021,5.0,2.0
38,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-15,True,2,2021,5.0,2.0
39,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-15,True,2,2021,5.0,2.0
40,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-15,True,2,2021,5.0,2.0
41,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-16,False,2,2021,5.0,2.0
42,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-21,True,3,2021,5.0,2.0
43,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-22,True,3,2021,5.0,2.0
44,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-25,True,4,2021,5.0,2.0
45,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-25,True,4,2021,5.0,2.0
46,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-28,True,4,2021,5.0,2.0
47,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-28,True,4,2021,5.0,2.0
48,DLN5,A46441986,幫浦輸液套(一般型),2.0,2021-01-28,True,4,2021,5.0,2.0
49,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-29,True,4,2021,5.0,2.0
50,DLN5,A46441986,幫浦輸液套(一般型),1.0,2021-01-31,False,4,2021,5.0,2.0
